Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33
Probe 1035	0.757779	1.091699	0.402825	1.135508	0.092409	-1.308703	0.125982	-1.535097	0.316815	0.130285	0.397008	0.157292	0.381313	0.895354	-0.419956	1.978700	0.321084	-0.567970	-0.099246	-0.085736	-0.392119	-0.662070	1.256363	-0.345496	1.306123	-1.218617	-0.081004	-0.351213	-1.324999	-0.196488	1.052175	-0.432253	-0.563076
Probe 1036	0.626897	0.465606	0.364597	0.708983	0.134511	0.209603	-0.936429	-1.379066	0.506933	-1.205504	0.745044	-0.415296	-0.116653	0.591325	0.334912	0.896508	1.199556	-0.053624	0.652885	-0.124746	-1.287088	0.894900	0.617893	-0.405708	0.213490	-1.905426	0.168944	-0.056505	-0.475263	-0.296822	0.886309	-0.093751	0.216224
Probe 1037	0.131339	2.072220	-1.177276	0.402266	-0.675364	0.666854	-0.132292	-1.177276	-0.264757	-0.547176	0.930572	-1.177276	0.058248	-0.424463	0.288282	1.853823	0.786199	-0.555066	-0.228395	0.073604	0.944997	0.194496	0.379016	-0.483188	1.635530	-1.177276	1.553840	-0.773307	-1.058791	0.708421	0.375956	0.312738	-1.177276
Probe 1038	-0.697936	-0.697936	-0.697936	-0.697936	-0.058521	1.033671	-0.697936	-0.697936	1.143029	1.034632	2.120573	-0.697936	0.411734	-0.697936	0.733674	-0.697936	-0.697936	-0.697936	1.864048	0.435633	-0.026325	-0.697936	-0.697936	-0.697936	1.388179	0.548198	1.033179	-0.697936	-0.697936	1.434020	-0.697936	-0.697936	0.705541
Probe 1039	-0.507962	0.018585	-0.132180	0.230725	-0.507962	2.240809	-0.507962	-0.507962	0.594555	-0.507962	-0.507962	-0.507962	0.156709	1.172615	-0.507962	-0.507962	-0.396931	0.654816	2.025881	0.310370	-0.402617	-0.507962	-0.507962	-0.281206	-0.507962	-0.507962	-0.408202	0.659860	0.795878	-0.051304	0.577247	1.092161	-0.507962
Probe 1040	-0.054075	-0.458147	-0.177942	2.269275	-0.458147	0.490361	-0.458147	1.518784	-0.458147	0.021963	-0.458147	-0.458147	-0.458147	0.912796	-0.458147	1.980589	-0.458147	0.152612	-0.458147	-0.458147	-0.458147	-0.458147	1.678542	-0.458147	-0.458147	-0.458147	-0.458147	-0.458147	0.132407	-0.458147	1.246707	-0.458147	-0.458147
Probe 1041	1.364070	0.294498	0.690194	1.063716	0.694249	0.564667	0.147216	0.662829	0.291350	-0.115479	1.045612	-1.565093	-0.109711	0.594345	-0.438337	0.975201	0.575686	-1.466445	1.850949	-0.347572	-0.788659	-0.062282	0.651643	-1.272103	-0.727196	-1.074783	0.044140	-0.918468	-0.489912	-0.935102	0.080296	0.709353	0.070506
Probe 1042	-0.246972	-0.246972	-0.246972	0.807217	-0.246972	-0.246972	-0.246972	-0.021933	-0.246972	2.521338	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	1.455500	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972	-0.246972
Probe 1043	-0.930117	-0.930117	-0.930117	-0.930117	-0.930117	-0.930117	-0.930117	1.436355	1.949235	-0.930117	-0.930117	3.252318	2.061738	4.714522	-0.930117	-0.930117	-0.930117	-0.930117	-0.930117	-0.930117	2.073424	-0.930117	4.813281	-0.930117	-0.930117	-0.930117	-0.930117	-0.930117	-0.930117	-0.930117	-0.930117	6.391812	-0.930117
Probe 1044	0.499031	0.898512	1.415030	1.342860	-1.533331	-1.533331	-1.533331	-1.533331	-0.292973	-1.533331	0.672637	-1.533331	0.257310	1.917339	0.079609	2.258954	1.342450	0.275810	0.907986	-1.533331	-0.699715	-0.454222	2.049216	-0.235725	0.287887	-0.963022	-0.888765	1.067295	-0.285120	-1.533331	1.171523	0.713412	-0.484358
Probe 1045	-0.033464	-0.300463	0.207518	0.994332	0.329371	0.516052	0.272127	0.317861	-0.444314	0.145483	1.214401	-1.579829	-0.044524	0.068647	0.152950	1.447238	0.210943	-0.363185	1.550588	0.052729	0.175057	-1.166102	0.445188	-1.104637	-0.097413	-0.905602	0.001311	-1.579829	0.097529	-0.640670	1.031230	0.999402	0.675761
Probe 1046	1.235690	0.196459	0.676951	2.067763	-0.311307	-1.089741	-0.450595	-1.495578	-0.725225	0.134522	0.572320	-1.495578	1.104483	1.332409	0.506610	0.372290	-0.338534	-0.001494	-0.769636	-0.837929	0.890239	0.185771	1.229879	-0.964429	-1.284708	-1.495578	1.132410	-0.066826	-0.373220	0.390119	1.155157	0.794666	-1.495578
Probe 1047	0.748257	1.418733	0.839667	1.313188	-0.222601	-1.020601	-0.535034	0.532294	0.378087	-1.526661	-0.392133	-1.243792	0.127243	1.305850	0.390495	1.120911	0.300632	-0.270691	0.748801	-0.709118	-0.015413	0.243415	0.967370	-0.382677	-0.321539	-1.574416	0.628032	-1.451862	-0.096693	-0.703923	1.502085	0.668991	0.125577
Probe 1048	0.186019	-0.588421	0.309314	-0.588421	1.379154	-0.588421	-0.588421	-0.588421	-0.588421	-0.588421	1.217065	0.341427	-0.588421	1.889904	-0.588421	-0.588421	-0.588421	-0.588421	-0.588421	-0.588421	-0.588421	-0.588421	-0.588421	-0.410909	-0.588421	-0.588421	-0.588421	3.052154	1.804686	-0.588421	3.402274	0.233436	-0.588421
Probe 1049	0.680213	-0.833912	-0.121480	1.327008	1.731831	-0.833912	-0.833912	0.668517	-0.833912	-0.833912	0.807478	-0.833912	-0.833912	0.974839	-0.073520	0.484618	-0.833912	-0.833912	0.740877	-0.833912	-0.833912	1.268188	-0.490925	-0.833912	-0.747797	-0.833912	2.253775	-0.833912	-0.833912	-0.833912	-0.445855	1.646117	-0.833912
Probe 1050	0.691594	0.303338	0.327685	1.313488	-0.041798	-0.145486	-0.053439	-1.399320	0.862783	-0.983863	-1.114828	-0.410256	0.608188	0.582580	-1.293938	0.869997	0.049581	0.050467	-0.231799	0.144061	0.487497	-0.046594	2.087821	-1.124946	0.198573	-1.399320	0.357138	0.195060	-0.257752	0.492696	0.001485	0.459606	0.050266
Probe 1051	1.582862	0.086857	1.990901	2.206878	0.993363	-0.423660	-0.423660	-0.423660	-0.423660	-0.423660	-0.423660	-0.423660	-0.423660	0.302059	-0.423660	-0.423660	0.561841	-0.423660	-0.423660	-0.423660	-0.423660	0.463631	-0.423660	-0.423660	-0.423660	-0.423660	-0.423660	-0.423660	0.056533	-0.423660	1.537932	-0.212689	-0.423660
Probe 1052	0.635894	0.146272	-0.836592	1.050190	-0.857709	-0.857709	-0.411134	0.202445	0.793466	-0.857709	0.762588	1.960100	-0.683741	1.124190	-0.434713	-0.857709	-0.857709	-0.574638	0.272708	1.057436	-0.857709	-0.857709	-0.857709	-0.857709	2.440121	0.603841	0.955057	-0.857709	-0.857709	-0.857709	0.794804	0.785550	1.362851
Probe 1053	-0.537713	0.355788	1.413753	0.157711	0.099544	0.713759	1.279831	-1.115428	0.543110	0.878876	0.438706	0.129004	0.495188	0.225182	-0.307793	0.092796	0.241396	-0.660074	1.038483	-0.244444	0.095047	-1.059067	0.465146	-1.483089	0.475003	0.188388	-0.916716	-0.498758	0.554776	-0.452799	-0.775958	0.762106	0.624572
Probe 1054	1.935553	-1.414257	0.648358	0.736124	1.015039	-2.846099	-0.124550	0.312512	0.133581	-2.082504	0.682080	0.848454	1.146804	0.822079	0.528583	0.757832	0.709717	1.094612	0.829712	-0.493122	0.473877	0.830471	1.441335	-0.974326	-2.328750	-1.688834	1.022935	-0.210078	0.514586	-2.265332	1.047217	2.785369	-2.846099
Probe 1055	-0.054711	0.901721	-0.625561	0.300664	-0.472125	-2.037869	-2.037869	0.367318	0.308079	-1.892678	1.929631	0.512762	0.900546	0.178639	0.341274	1.171036	0.635688	-2.037869	1.685679	-2.037869	-0.138499	0.253665	0.502956	-0.288815	-0.598522	-0.810594	0.969913	-0.804272	-0.758103	-0.423081	0.180530	-0.475099	-0.180828
Probe 1056	0.067925	0.503339	0.570618	0.856272	-0.369526	-1.657501	0.348674	-1.349469	-0.193795	-1.173353	0.971400	-0.764318	-0.209464	0.774800	0.145445	0.892344	0.349276	-0.845040	0.525927	-0.297885	0.231769	0.280109	1.183787	-0.514574	-0.494243	-1.707945	1.410017	-1.544100	-0.843139	-1.215493	1.316610	1.656399	0.398534
Probe 1057	0.295764	0.703489	-1.470125	0.195523	0.290744	0.802195	0.676687	-0.773319	0.937336	0.533722	0.795166	-1.106109	0.544209	-0.482304	-0.447632	-0.325353	-0.308698	-0.308635	1.273508	0.596442	0.431808	-0.692738	-0.932409	-0.929334	1.443440	-1.642850	0.335383	-0.386144	-1.407444	-0.200700	0.324588	-0.284348	0.572902
Probe 1058	0.968262	0.752369	0.945747	0.471939	0.310731	-1.128340	-1.447794	-1.429576	0.231007	-1.378457	0.600727	-0.431143	0.502415	0.605492	-0.319879	1.457777	0.812626	0.029973	0.207017	-0.214684	-0.170353	0.086652	1.389522	-0.284626	-1.525390	-0.899792	0.233130	-0.753662	-0.557943	-0.686492	0.716073	0.336544	0.327605
Probe 1059	-0.244264	0.503437	-0.610624	-0.465759	0.278505	0.976249	0.617188	-1.514786	1.126212	-0.789473	0.649529	0.474279	1.000220	-0.932737	-0.131197	0.432034	0.308964	-0.196090	1.450397	0.227397	-0.538917	-1.514786	0.098484	-1.080934	1.353197	-0.697495	0.668772	-0.346963	-0.302464	-0.918455	-0.779415	1.051527	1.166616
Probe 1060	-0.294804	1.843033	-0.294804	-0.199974	-0.294804	0.176835	0.480169	-0.294804	0.840711	-0.294804	2.326555	-0.294804	-0.294804	-0.294804	0.084338	-0.294804	-0.294804	-0.294804	-0.294804	0.362845	-0.294804	-0.294804	-0.294804	-0.294804	0.316086	-0.294804	-0.294804	-0.294804	-0.294804	-0.294804	-0.294804	-0.294804	-0.294804
Probe 1061	-0.259477	0.323589	-0.627924	-0.627924	-0.627924	0.425611	0.912773	-0.627924	-0.627924	0.317353	0.228961	1.696159	1.015530	-0.627924	-0.627924	0.067763	-0.184318	0.903075	0.854746	-0.494355	-0.627924	-0.475395	0.564820	-0.035375	0.490405	-0.112524	-0.071306	-0.627924	-0.627924	-0.627924	-0.542715	-0.627924	1.987590
Probe 1062	0.695854	0.693876	0.615370	1.181871	-0.395252	-1.198338	-0.929322	0.208149	-0.316623	-1.261496	0.363904	-0.587937	-0.810379	0.730238	0.496914	1.350863	1.367323	-1.052270	0.533772	-0.187461	0.322364	0.747067	0.589926	-1.188467	-0.054782	-0.794649	1.217433	-1.064136	-1.000822	-0.644873	1.513501	0.031071	0.442838
Probe 1063	-0.264200	-0.264200	-0.264200	-0.264200	-0.264200	-0.264200	-0.264200	-0.264200	-0.264200	-0.264200	-0.264200	-0.264200	1.371217	-0.264200	-0.264200	-0.264200	-0.264200	3.425545	-0.264200	-0.242139	-0.116150	-0.264200	2.026320	-0.264200	-0.264200	-0.264200	-0.264200	0.295339	-0.264200	-0.264200	-0.264200	-0.264200	-0.264200
Probe 1064	0.772468	-0.947003	-0.017251	0.437359	-1.113255	0.464642	0.100761	-1.113255	-1.113255	-0.712905	0.903905	-1.113255	-1.113255	1.426640	0.838927	2.040015	0.225882	0.723177	1.346587	0.544394	-0.454244	-0.994149	0.589216	-1.113255	-1.113255	-0.411442	1.363928	-1.113255	-1.113255	0.450197	-1.113255	1.297511	1.446417
Probe 1065	-1.070357	0.332977	0.559607	0.682809	-0.285336	-0.717956	0.636632	-2.834554	-0.468384	-0.662429	1.960618	-0.665714	-0.300689	-1.582006	0.187732	-0.162770	0.656017	-1.020412	2.250713	-0.030197	-1.138068	1.036933	-1.552278	-0.219636	0.519436	-1.693319	1.823522	-0.049877	-2.834554	0.677310	1.068503	0.614462	2.096131
Probe 1066	-0.549459	-0.362993	0.833667	2.489129	-1.481906	0.621578	2.192327	-1.421387	1.282477	-0.280414	-0.992413	-1.784334	1.776590	-0.206536	-0.218406	0.167719	-0.543810	2.164453	0.587032	-0.031216	2.164293	-1.336880	3.684533	-1.055005	0.160714	-0.245614	-1.673638	-0.635324	-0.219658	0.580798	0.275825	1.526455	-2.403496
Probe 1067	0.186338	-0.415432	-0.011123	0.225914	-0.242332	0.370934	-0.290946	1.005126	1.117353	-0.196214	0.552421	0.943340	-0.831061	-0.276641	-0.369702	0.049955	-0.994814	-1.942227	0.644859	0.151382	0.326562	-0.488125	-0.262243	-0.028237	1.366568	0.549795	0.486200	-0.047114	-0.635450	0.083487	0.352216	0.264029	-1.432811
Probe 1068	-0.505129	0.848341	-1.011552	-0.421746	-0.221600	-0.910804	1.472654	-0.444128	1.132683	1.820397	0.553348	0.812206	0.198833	-0.426347	-0.000206	0.366334	2.004233	-0.446853	0.682106	0.060437	-2.622768	-0.545803	1.417522	0.415435	-0.408158	-0.760251	-0.695305	-0.193753	0.150583	-0.071446	-0.973068	0.704194	0.046477
Probe 1069	0.913897	0.724510	0.674585	0.834511	0.783428	-1.112762	-1.112762	-0.135831	-1.112762	-1.112762	0.350566	-0.938810	-0.179802	0.091530	1.045471	1.185837	0.665446	-0.640657	0.615092	-1.112762	0.047259	1.516119	0.927002	0.291429	-0.122863	-1.112762	0.735796	-0.782043	0.494469	-1.112762	0.959223	-0.731196	0.536072
Probe 1070	0.894054	0.439999	0.584921	0.932538	-0.097391	-0.972358	-1.072943	0.575329	0.967024	-1.049177	-0.843720	-0.426235	0.799330	-0.777565	0.489717	0.916476	0.903047	0.694489	-3.018199	0.387566	1.642920	0.196304	1.166828	0.430257	0.454460	0.194768	-0.345787	0.065180	-0.131672	0.420442	-1.841197	0.675609	-0.530363
Probe 1071	0.580918	-0.835271	1.282622	1.707673	0.288089	-2.698022	-2.698022	-0.299216	1.673158	-2.698022	-0.469578	-2.698022	1.557304	1.168460	-0.170890	1.882258	1.805962	1.801504	-2.698022	-1.221222	-0.772115	1.879491	2.105117	0.906686	-2.698022	0.286950	-0.486707	1.554043	1.886226	-2.698022	0.819561	1.709127	-2.698022
Probe 1072	1.917164	1.874987	-1.037777	-0.135375	1.600192	0.867810	0.850453	-2.361776	0.895337	0.621510	2.147596	1.132743	-0.792323	-1.414642	0.962918	-1.143411	-0.150764	-1.004884	2.298599	0.902097	-0.805468	-0.087852	-1.241181	-0.576112	1.262797	-0.788478	0.475798	-2.361776	-0.716361	0.677569	-2.361776	0.457113	1.303841
Probe 1073	0.237596	-0.201847	-0.616872	0.352049	0.136916	0.202029	0.946190	-1.183541	1.459538	0.009614	0.223839	-0.043713	0.639660	-0.233147	-0.625895	-0.201710	-0.309044	-0.583219	0.175734	1.475627	1.376796	-0.100282	2.925200	-1.111859	1.987262	-1.828660	-0.638590	-1.119200	-1.184509	1.314011	-0.155170	-1.363399	-0.008877
Probe 1074	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	4.099397	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985	-0.099985
Probe 1075	0.954708	1.463739	1.100758	1.489511	1.333366	-0.530251	-2.119832	-0.422082	-0.173904	-2.086315	1.095947	-2.399013	-2.399013	0.608422	0.359669	0.750554	1.633970	-0.737429	0.743640	1.340235	0.567512	0.399574	0.004136	-0.715468	0.712474	-0.368728	1.592472	-0.252376	-1.877172	-1.119973	2.475004	-0.127459	0.553185
Probe 1076	1.394008	0.989789	0.391636	1.269547	0.546395	-2.224265	-1.168614	-2.028372	-0.736689	-0.882808	0.608985	-0.720240	-0.021001	0.850476	0.750193	0.643604	1.462796	0.110179	0.862865	-0.162501	0.264822	0.356321	0.711591	-0.211053	-1.061127	-1.944793	1.828049	-1.221119	-0.348022	-1.367999	1.257768	0.673617	-1.039605
Probe 1077	0.758779	-0.450517	0.306072	1.095155	0.047414	1.251848	-2.117463	0.103241	1.124579	1.368025	0.943407	-2.117463	-1.539597	0.292298	0.320573	0.835036	-0.561647	0.283304	1.506926	0.719294	-2.117463	-0.058778	1.195488	-1.570717	1.191377	-2.117463	0.013083	-0.184354	-0.504714	0.845302	0.141177	0.749147	0.246432
Probe 1078	0.490601	0.116286	-2.102969	-0.560624	1.057630	1.281350	1.009016	-1.475635	0.016628	1.077999	1.793442	0.350793	-0.374851	-0.691898	0.797034	-0.956040	-0.694852	-1.221558	1.240542	0.550021	-0.861588	0.273108	-1.077420	-0.692722	0.797214	0.375939	0.008919	-0.650963	-0.966325	0.954334	-1.118080	-0.026370	1.210288
Probe 1079	-0.208445	0.341645	-0.618411	1.398897	0.148939	0.430122	0.400486	-1.356855	1.316928	0.416298	0.177602	0.032950	0.891636	-0.803219	-0.068670	0.305874	0.055537	0.510821	1.217411	-0.229343	0.582758	-0.030013	-0.005983	-1.252378	0.128293	-1.429890	-0.423617	-1.429890	-0.411773	0.636528	0.092562	-0.264918	0.232059
Probe 1080	1.182342	-1.352018	0.577566	0.707314	1.370814	-1.352018	1.025029	-1.352018	-0.205669	-1.352018	3.676795	-1.352018	-1.352018	-1.352018	1.870910	-1.352018	-0.719750	-1.352018	3.336858	1.604155	1.564216	-0.232912	-1.352018	-1.344431	-1.352018	-1.352018	2.798125	-1.352018	-1.195263	2.022178	-1.352018	-1.352018	3.435854
Probe 1081	0.712984	3.510461	-0.919483	0.357711	2.207956	-0.970747	-0.222585	-1.906158	0.572265	-1.314642	0.968936	-0.921569	0.366406	-2.509709	1.563695	-1.741376	-0.375488	0.872658	0.118268	0.272003	1.714800	-0.407609	0.103561	0.025355	-0.409699	0.677141	-0.434196	-0.878255	-1.205869	0.113460	-2.156209	1.912509	0.710852
Probe 1082	0.502815	0.960698	-1.422202	-1.870134	0.335385	1.225748	0.218351	-1.870134	0.562447	0.458611	1.287608	0.979976	0.145653	0.162392	-0.323047	-1.457945	0.365593	-0.339135	1.647774	-0.212485	-1.870134	0.863682	1.321511	-0.677671	1.470263	0.168828	0.152645	0.430212	-0.794953	0.267152	-0.940442	0.198194	0.526495
Probe 1083	-0.482720	-0.482720	-0.482720	-0.482720	-0.482720	0.891515	-0.482720	-0.482720	1.533840	2.497522	0.420308	-0.482720	-0.482720	-0.482720	-0.482720	-0.482720	-0.482720	-0.482720	0.475964	1.677430	-0.482720	-0.482720	0.623936	-0.482720	2.922528	-0.482720	0.585583	-0.482720	-0.482720	1.637442	-0.482720	-0.482720	-0.482720
Probe 1084	0.233203	0.882078	-1.038646	1.495125	-0.243894	0.780296	0.084017	-1.668185	1.250666	0.219760	-0.075777	0.767951	0.820294	-1.483656	0.894669	0.828068	-0.068867	0.517925	1.692245	0.326240	1.003426	0.219105	0.963047	-0.821394	0.924804	-1.668185	0.050090	-0.777770	-1.668185	0.770456	-0.476437	-0.036153	-0.680396
Probe 1085	1.021489	-0.894366	-1.321947	-0.760417	-0.030455	0.801978	0.926183	-1.321947	0.512334	-0.033661	1.534037	-0.134447	0.906470	-1.321947	0.030229	-1.321947	-0.272316	1.500904	0.969696	1.126379	0.283346	-0.632985	2.616534	-1.321947	1.968834	-1.321947	-0.233546	-1.092374	0.115360	0.958056	-1.321947	0.704120	0.523644
Probe 1086	1.304335	-0.593934	-0.265149	1.915934	-0.267108	-0.593934	-0.593934	-0.593934	-0.593934	-0.593934	-0.593934	-0.593934	-0.593934	-0.129882	-0.170937	2.541970	1.102060	-0.593934	-0.593934	0.825343	-0.470132	0.628460	1.797765	-0.593934	0.719883	-0.593934	1.521302	-0.593934	-0.593934	-0.175288	-0.593934	-0.593934	-0.593934
Probe 1087	0.948072	0.224700	0.441091	-0.555168	0.169036	0.536814	0.514483	0.365224	1.026900	0.272833	1.417599	0.860913	0.171547	-1.125910	-0.131225	0.354784	0.069931	-0.229128	1.486442	0.542914	-0.230027	-0.529272	-0.870789	-1.048560	0.867646	-1.083097	0.083291	-1.026166	-1.351895	0.374018	0.421970	0.161008	0.307119
Probe 1088	0.925561	-1.170807	-0.366181	-1.170807	0.791785	1.587412	1.366089	-0.782269	1.487955	1.419909	0.395370	-1.170807	0.384516	-1.170807	0.701376	-1.170807	-1.170807	-1.170807	-0.444865	-0.722481	-0.378901	0.108171	-1.170807	-1.170807	1.691752	-1.170807	-0.784629	0.903625	-0.525392	0.794958	1.668120	-0.971959	1.542444
Probe 1089	0.760186	0.760186	0.096238	0.489384	0.342674	-0.887122	-0.459284	-0.399547	0.484525	-1.357947	-0.087793	0.112508	-0.031395	0.393889	0.540608	0.530369	0.760186	-0.670009	-0.009707	0.046823	-0.441000	0.752967	0.419065	-0.060049	-0.094656	-0.269285	0.760186	-0.480594	-0.749995	-1.776011	0.698502	0.475166	-0.620765
Probe 1090	3.447207	2.983448	-0.249878	1.343368	0.443418	-1.840104	-1.840104	-1.840104	1.934911	-1.840104	-0.232611	2.082675	0.488086	-1.840104	3.117307	-1.840104	-0.583093	0.838031	-1.434178	-1.840104	0.857409	1.578211	-1.050714	1.529427	-1.840104	-1.840104	0.737994	-0.494433	-1.840104	-1.840104	1.268607	1.591534	-1.840104
Probe 1091	0.407400	-0.744645	-3.809267	0.121283	1.600464	-1.981804	3.029963	-0.614330	-1.272456	0.062875	0.266193	-0.860090	-0.848042	1.454122	-1.200104	2.546872	0.999712	-0.270125	0.460049	-0.436110	-0.364743	-2.378443	1.624046	-1.264787	-1.095034	-1.547083	0.375446	2.147062	0.685036	-1.198425	-0.776333	2.401371	0.659065
Probe 1092	-1.190206	-0.098719	2.686804	0.521329	0.411467	-2.431482	-1.909893	2.741410	0.218425	-1.376021	-1.839074	-0.542506	0.729481	4.562177	-2.283665	4.128013	-0.827411	3.109543	-0.808634	0.447671	-0.265511	0.324249	0.121387	-0.556616	-0.942011	-2.258363	-0.786917	-1.719941	4.079135	-1.131381	3.174539	0.508889	-1.769533
Probe 1093	0.688703	-0.830803	-1.095909	-1.095909	1.058080	1.120028	1.756047	0.117542	-0.311616	1.021836	-0.866071	1.499870	0.040585	-0.843362	0.172202	-0.270745	-1.095909	0.308178	0.780696	0.447472	-1.095909	-1.095909	-1.095909	-1.095909	1.493801	0.116099	-1.095909	0.173410	-1.095909	0.450017	-1.095909	0.823374	-1.095909
Probe 1094	-1.857866	-2.645853	-0.572480	1.640448	-0.833047	1.028019	0.149948	-1.507015	2.151673	-0.513405	0.092697	-0.448277	1.846711	-0.920134	-0.858368	-0.369726	-0.275689	2.011215	-0.614146	1.408844	1.748541	0.532598	0.461970	0.497443	1.546762	-2.645853	-0.462295	-0.619325	1.689195	1.894652	3.248778	-1.175877	-0.846994
Probe 1095	1.337746	2.077590	-1.853246	0.489527	0.090883	1.456981	1.192841	-3.072909	1.335875	1.094762	-0.808670	1.226823	1.136684	-0.449903	1.274154	0.363802	0.742667	-1.675470	-1.191142	0.141797	0.750392	0.131006	0.444401	-0.784551	0.504439	-1.230614	0.119961	-0.768731	-1.793143	0.572873	-1.550456	1.304294	-1.927398
Probe 1096	-3.434980	-2.668414	1.872730	1.859211	-1.963440	2.211072	2.097718	-3.083418	1.643432	2.211072	0.839104	1.028881	2.211072	-1.769730	1.240468	0.975212	0.708045	-0.900836	1.025511	-0.520840	0.961015	-1.147044	0.090112	-1.555411	0.500438	-0.172376	-1.743355	0.129006	-1.611922	1.211290	-0.644404	-2.442101	-0.175945
Probe 1097	-0.092635	-0.348830	-0.274263	0.447495	-1.419925	1.835244	0.559346	-0.343687	0.447472	1.065205	1.983547	-1.419925	-0.418658	-0.120684	1.694847	1.754157	0.681053	0.426305	1.630239	0.452992	0.835254	-1.419925	-0.567924	0.009727	0.963713	-1.419925	-0.500737	-1.419925	0.505915	1.820510	-0.803391	-0.900367	-1.419925
Probe 1098	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	0.340467	-0.171655	2.801632	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655	-0.152211	-0.171655	-0.171655	2.907258	-0.171655	-0.171655	-0.171655	-0.171655	-0.171655
Probe 1099	-0.497914	-0.497914	-0.497914	-0.497914	-0.497914	0.609842	-0.497914	-0.497914	-0.497914	-0.497914	0.081438	-0.497914	-0.497914	-0.497914	0.322738	-0.377065	-0.497914	-0.497914	1.883926	-0.497914	-0.497914	-0.497914	-0.497914	1.345723	-0.497914	3.077623	-0.497914	3.051974	-0.497914	-0.443841	-0.497914	1.031359	1.264876
Probe 1100	0.613039	0.819102	-0.901086	-0.901086	-0.325517	0.339327	0.761499	-0.297536	1.406769	-0.734308	-0.125814	0.118593	0.817837	-0.901086	-0.113601	-0.730655	0.482964	-0.901086	1.801710	0.429964	0.811748	0.273302	-0.901086	-0.467234	1.091299	-0.529421	0.496642	-0.901086	-0.901086	-0.390864	-0.336480	-0.156354	0.680320
Probe 1101	1.571208	0.818271	0.580600	0.975798	0.683549	-1.633665	-1.330495	-0.108273	-0.298045	-2.189949	-1.165831	-0.191319	0.534969	0.553434	0.392382	1.412690	1.179708	0.263764	-0.552452	-0.644358	0.247446	0.571458	0.774615	0.821229	-0.539587	0.287632	-0.297547	0.419405	-0.739367	-1.960702	1.009061	-0.265960	-2.687200
Probe 1102	-0.673831	0.745187	-0.673831	-0.673831	-0.098262	1.010982	0.955222	0.120699	0.300793	0.024560	1.218679	-0.598442	1.972292	-0.673831	-0.673831	0.626997	0.190108	-0.673831	3.332106	0.272194	-0.673831	-0.673831	0.882461	-0.673831	1.904344	-0.673831	-0.673831	-0.673831	-0.673831	-0.673831	-0.673831	1.970547	-0.673831
Probe 1103	3.074804	3.042563	-2.007546	3.350423	2.327497	-0.633311	-2.007546	-1.118935	-2.007546	-2.007546	-0.680774	0.402827	-2.007546	-2.007546	3.255748	-2.007546	-2.007546	-2.007546	-2.007546	0.601622	0.135988	-2.007546	-0.149985	4.751899	1.554825	3.783979	-0.238581	-2.007546	-2.007546	1.112616	-2.007546	-2.007546	-0.185132
Probe 1104	0.495730	0.676080	0.664537	1.136676	-0.078750	-0.813342	-0.261391	-1.021035	-0.227801	-0.717678	0.143451	0.037247	0.060980	0.523239	-0.368221	1.415325	0.653559	-0.909704	0.054396	-0.678743	-1.096087	0.514948	1.147601	0.191516	-0.096568	-0.999134	0.095566	-0.250961	-0.627622	-0.688560	1.330624	0.140271	-0.509106
Probe 1105	-0.163602	0.783220	-0.661333	-0.661333	-0.661333	0.300320	0.189092	-0.661333	0.628720	0.341089	1.077217	0.620750	0.222718	-0.661333	-0.482489	-0.661333	0.007694	-0.661333	2.057896	0.682656	-0.181770	-0.352402	-0.057956	-0.661333	0.906881	-0.661333	0.633898	-0.661333	-0.482094	-0.046545	-0.273276	-0.414591	0.757678
Probe 1106	-0.112509	-1.876705	2.275046	4.151652	-1.876705	0.439864	-1.876705	-1.876705	-0.243389	-0.104870	-1.876705	1.697321	2.157029	1.605673	-1.259984	2.157075	1.071895	1.213721	-1.876705	0.476272	0.942826	-0.074605	2.371586	-1.630714	-0.404937	-1.876705	-1.193870	1.402382	0.422009	-1.876705	1.333267	0.971588	-1.876705
