Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48
Probe 338	0.007271	1.217045	2.264655	-1.953711	-1.258631	-1.119975	0.833005	-1.092476	-1.112423	1.124693	1.392038	-1.905287	-0.878482	-4.213239	-2.995414	-3.034859	-0.806485	-3.891428	-0.289507	0.617489	-0.372994	0.941717	-2.729712	-5.408133	2.118758	0.855155	1.057065	-0.653806	0.279801	-1.239916	-1.265306	1.516897	-1.022160	-0.295214	-2.378340	0.801369	-2.703263	1.041774	-2.092332	0.631802	-2.258866	0.357372	-0.123480	0.297011	-0.760273	-0.513308	-3.033977	-0.716923
Probe 339	-2.864162	-3.209538	0.572063	-0.560499	0.947509	-4.202185	-4.970854	-3.586503	-0.992342	-1.017999	-4.317036	-1.922967	-0.873417	-3.278346	-0.408933	-1.796641	0.590393	-3.292782	-3.025570	-4.059411	0.342317	-0.275049	-4.675051	1.736185	-2.516944	-5.273889	-1.018852	0.103193	-2.365336	-2.858217	-2.975002	-2.264373	-2.320619	-3.020997	-0.429873	-2.365825	-2.388312	1.743370	1.169660	-0.965757	-4.893362	0.727839	-2.536663	-4.324024	-1.804030	-1.876168	0.000000	0.108479
Probe 340	0.849037	-0.727920	-0.110016	-0.981198	-0.026021	1.194037	-0.885212	0.355162	0.280159	-0.611018	-0.499323	0.190798	0.357029	0.630126	-0.893344	0.843955	-1.323954	-1.407482	0.084845	-1.030002	-0.681520	-0.162844	0.603254	2.495748	-1.644219	-0.558700	0.006932	0.159576	-0.090538	-0.854311	1.752439	-0.065517	-0.612806	0.072703	-0.423958	-0.625357	0.420273	-0.862981	0.388565	-0.865157	0.253286	-0.084303	0.727541	-0.430156	0.451412	0.139774	-0.036211	-0.801657
Probe 341	0.116930	0.478654	0.536927	0.077713	1.464782	0.469862	-1.351949	0.398118	-0.324639	3.242101	0.896645	0.424303	0.000000	-0.013102	0.095434	0.000000	-0.115093	-0.188103	-0.156609	0.000000	0.966212	0.871102	0.051147	-0.218180	-1.049433	-0.965155	0.738809	0.000000	1.864880	0.385481	-0.029008	-0.140779	0.127427	0.000000	-1.296241	0.448151	0.081008	0.506501	0.372488	-0.366861	0.096139	0.169925	3.375278	-0.699246	0.187556	0.221356	0.049675	-0.853428
Probe 342	0.483658	-1.217361	-0.833539	-0.280460	-0.852951	-0.509568	-1.554589	0.304723	-0.864186	-0.806216	-1.089554	-0.485225	-0.199413	-1.078496	-0.754631	-0.820660	-1.378362	-1.176605	-0.389243	-0.685952	-1.196280	-0.845036	-0.284431	2.799060	-1.741203	-1.793199	-1.544850	-0.177277	-0.962767	-0.146656	0.216578	-0.749162	0.053075	-1.279482	-0.981061	-1.102841	-1.163051	-0.859137	-0.297352	-1.092236	-0.918823	-0.325259	-0.172603	-0.614008	-0.921698	-0.504141	-1.394570	-0.118850
Probe 343	1.026956	0.507387	-0.690041	1.201402	-0.550886	-0.400800	-0.355340	0.208690	0.449564	-1.286014	0.805476	-0.003293	0.019390	-0.596001	0.687889	-0.825271	-0.464678	-0.305153	0.534429	0.648470	-0.365093	0.389465	0.026859	-2.378354	1.109435	0.026421	-1.462489	-0.407686	0.245009	-0.003395	0.773785	0.927870	-0.323321	-0.073063	0.291638	-0.017570	1.116899	1.021487	0.631334	0.210241	-0.402386	-0.851691	0.524020	-0.119447	0.838079	-0.501791	-0.529273	0.676602
Probe 344	-0.440981	-0.484965	-0.418343	-0.491757	1.394191	-3.719892	0.746351	-1.008162	0.016615	1.552412	1.490101	-0.723861	0.089160	-2.257445	-0.392535	0.385443	0.585283	2.425388	-0.498430	0.749879	0.893697	0.589512	-4.765004	0.058041	-2.212710	0.402823	-0.574735	1.177640	0.089963	0.876710	-1.428056	2.294347	0.871942	1.194314	0.932499	-1.165825	0.746014	1.366697	-0.421660	0.280864	-4.444180	-0.588256	-0.246210	0.118348	-0.519665	0.824651	-3.855537	0.479249
Probe 345	-0.475632	0.551640	0.122107	0.000000	0.596906	-2.564983	-0.142665	-1.412815	0.863206	-0.503380	-0.650680	-0.082949	0.193908	-1.433323	0.086815	-1.262091	0.786396	0.370027	0.221598	-0.038928	0.437242	0.108053	-2.533671	-1.086596	0.315293	-0.577550	-1.442622	0.741399	-0.475967	0.572201	-1.644822	-0.062299	-0.706311	-0.963204	-0.132604	-0.673345	-0.793941	1.330284	1.076147	-0.050583	-0.483852	0.714238	-0.885618	0.790254	-1.175934	0.388323	-1.128097	-0.542064
Probe 346	1.378111	-4.406410	-0.553638	0.425804	-0.628977	-2.438742	-3.449592	-2.896907	-3.047267	-0.490126	-1.576426	-1.011388	-1.831143	-3.060020	2.059954	1.045485	-1.021024	-1.624366	-0.788781	-3.612294	-0.298929	0.993236	-3.782816	0.848291	-3.936402	-3.532317	1.096357	-3.267036	-0.648351	-2.915608	-2.858512	-3.536448	-2.698761	0.000000	0.000000	-0.219313	-2.957182	-3.390943	-2.071850	-2.874892	-3.173956	-1.331933	-0.490432	-2.111486	-2.003907	-0.754400	-2.337765	-2.193136
Probe 347	1.376949	-0.875330	-0.562913	1.030823	-0.509438	0.161606	-1.754696	-1.351623	-1.025346	-0.201247	-0.937654	-0.399642	-0.806293	-1.610163	1.776633	0.684335	-0.901514	-0.892638	-0.434565	-1.408168	-0.440382	0.656445	-1.108267	0.752733	-1.360698	-1.667645	0.614207	-1.758543	-0.024932	-1.004713	-1.255870	-1.589227	-0.191992	-0.779610	-0.167791	-0.396410	-0.923565	-1.086791	-1.432855	-1.668156	-1.235834	-0.291122	-0.051887	0.034611	-1.192245	-0.110250	-1.257529	-1.643482
Probe 348	-1.593259	-2.312352	-0.912320	0.645467	-2.765535	-1.012846	-1.254633	-0.897412	-1.207113	-1.632947	1.190684	-1.628871	-1.103664	-1.509693	-0.304381	-2.137276	-2.563772	2.106998	-1.524921	0.354810	-2.416086	-1.771800	-1.789651	-1.481788	-2.515434	-0.979968	-1.803212	0.792109	-1.563039	-1.634065	-2.016197	-0.833171	-1.209545	-1.286947	-0.708747	-1.445713	-1.914652	-0.459254	-2.372554	1.674126	-1.987991	-2.001059	-1.290436	-1.109697	-0.151701	-1.233028	-1.363670	0.297977
Probe 349	0.709185	-0.239133	0.315563	-1.509816	0.738092	-4.083152	0.333133	0.647237	-3.669594	-0.397502	0.256146	0.404675	1.648941	-3.272483	-3.157044	0.000000	-0.449010	-4.228269	1.778116	0.211899	1.176258	-1.898893	-4.428968	-0.517283	-0.214562	0.038519	-3.639575	-1.167072	-0.238103	0.027376	1.966271	1.786046	0.838597	-0.910139	-2.065437	-0.945365	-1.943824	-3.568250	0.348304	0.463150	-4.384741	0.163229	0.626254	-0.123174	0.549776	1.318142	-3.423784	2.840392
Probe 350	0.779981	-0.169741	0.260833	-1.375394	0.756875	-3.548893	0.287764	0.673981	-3.584963	-0.256683	0.452458	0.770955	1.793173	-2.329403	-2.480990	0.000000	-0.248045	-4.050912	1.894222	-0.265723	1.182478	-1.807939	-3.987434	-0.309488	-0.032631	0.022587	-2.870986	-0.871911	0.028748	-0.001511	2.035778	2.001705	0.744577	-1.061613	-2.332753	-1.028536	-1.361188	-4.072963	0.717920	0.435245	-3.772941	-0.054329	0.620729	-0.081085	0.498744	1.409208	-2.432330	2.672786
Probe 351	0.061463	1.682299	1.757850	-0.916916	-0.216613	-0.444551	1.274460	0.425249	0.190159	-1.735909	-0.009807	-1.506607	-1.418979	-0.783376	-1.996240	-1.711875	0.047429	-0.013740	-0.247087	1.141322	-0.623769	-1.193108	0.005902	-0.018268	-0.231910	1.541722	1.613782	0.885064	0.420569	0.136174	-1.824913	0.692521	0.414034	-0.190103	-1.070118	-1.571696	-0.909227	0.403560	0.009618	0.635713	0.367347	0.608293	-0.443637	0.008554	-0.374396	0.732993	-0.724855	-1.350519
Probe 352	-0.300212	0.000000	-2.600118	-2.492305	1.718785	-1.397159	-4.174726	-3.640390	-1.965393	-3.415488	-0.566202	-1.224149	-2.166698	-2.487955	-1.463401	0.000000	-0.177095	2.015936	-0.341733	-0.706917	0.092791	0.000000	-1.598104	-3.422233	-0.555906	-4.211012	-3.295156	-2.469832	-2.156590	0.316751	-3.608809	-0.397160	-3.605781	-0.089552	-2.614406	-2.906891	-0.481187	-1.219748	1.125840	-0.410237	-3.603518	0.000000	-2.916342	-3.884695	-2.458420	-0.050014	-0.068172	2.161748
Probe 353	0.606940	0.823377	-0.020396	0.653916	0.988980	-4.411426	0.300691	0.008332	0.202976	0.300700	1.508664	0.266374	0.432571	-1.173867	-0.318973	0.235973	0.767547	0.184975	1.282622	0.188673	1.142097	0.563813	-5.014802	-2.145455	1.569471	0.018243	0.874722	0.397552	1.018493	0.141886	0.908522	1.245561	0.747794	0.177061	0.433571	0.052949	1.704043	0.525091	0.247201	0.095999	-1.409752	0.439733	0.241806	1.432706	0.511036	0.771617	-2.534805	1.339468
Probe 354	-0.051685	-0.947843	0.395525	-1.267933	0.679593	-1.926995	0.858269	-0.755980	1.071753	0.047588	-1.281968	0.830075	0.234698	-2.029541	1.316196	-0.398888	-0.220740	-0.834641	0.010918	-0.844387	-0.365468	-1.250410	-1.482168	-0.636545	-0.395353	0.190527	-1.524769	-0.088613	-0.059343	-0.650857	-0.890729	-1.026461	-0.325238	-0.120984	-0.889940	0.234026	-1.107889	0.058744	0.250906	-0.222312	0.028942	0.037048	-0.621531	-0.339371	-1.157092	-0.945703	-1.686872	0.600178
Probe 355	-0.691480	-0.119493	-1.808259	1.028771	-0.156283	-1.762795	0.792987	0.111832	-0.265267	-3.606941	0.160228	-0.357954	0.508418	-1.260534	0.439733	-1.957720	0.012873	0.097251	-0.250509	0.914841	-0.155185	-0.575427	-2.658620	1.326018	-0.516981	0.549607	1.406137	0.000000	0.620517	-0.440682	0.552230	-2.171053	-1.320984	0.000000	0.000000	-1.500462	-0.428111	0.957968	-0.009141	0.237874	-3.767166	0.067297	-2.329308	-0.967072	0.447134	-0.723261	-1.336859	0.867648
Probe 356	-1.014519	1.345271	-0.711970	-0.137879	0.139339	-3.693711	-1.310590	0.579214	-0.931043	-1.394742	1.494409	-1.026466	-1.142917	-2.456863	-0.352376	0.776557	-0.144642	1.790712	-0.704951	1.030828	-1.032807	-0.782249	-3.640578	-2.497381	0.195162	-0.707249	-1.186691	0.358748	-0.615327	-0.869597	-2.198473	0.236900	-1.152587	-0.974228	0.548589	-0.790859	-0.822594	0.553779	-0.138774	1.738617	-0.795133	-1.254230	-0.966241	-1.343423	-0.577730	-0.951678	-3.015758	-0.078898
Probe 357	0.531754	0.142887	-3.557290	-0.552774	-0.290506	0.743425	-0.170309	-0.900946	0.769658	-3.799087	-0.781017	0.046849	-0.736966	-0.722188	0.131223	0.246239	0.212938	0.833812	1.131313	-0.015296	1.009433	0.553936	-1.093109	0.285006	0.178125	-0.536239	-4.817112	1.487109	0.695674	0.618056	-4.412104	0.209516	0.643763	-0.067803	-0.552346	0.000000	-1.005067	0.725468	0.000000	-1.049354	1.185958	-0.708421	-1.314196	0.613404	-0.910656	1.399352	0.160342	0.750603
Probe 358	2.788496	-0.950095	0.399813	0.704544	3.392134	-3.598098	-4.286881	-0.392571	-2.709362	0.000000	1.382439	-2.402340	3.661015	-2.756423	-0.246932	0.000000	2.664549	-0.421152	-0.434924	-2.687741	-2.754105	2.280108	-3.914616	-0.311944	3.111584	-4.417515	-3.124564	-1.096058	-1.415037	2.298138	-0.168709	0.443309	2.231480	0.000000	-0.978626	-2.196984	-0.422328	-1.720767	2.142423	0.480964	-4.192743	-0.416527	-3.300585	-3.191392	0.846247	0.679841	-2.293196	1.313990
Probe 359	0.144101	0.559789	-2.989658	0.000000	0.000000	-3.998213	0.862496	0.880039	2.740694	-3.244887	1.006205	-1.990840	-2.347658	-0.700729	-1.401028	0.000000	0.370506	-0.187586	1.283157	0.294362	-2.493040	0.000000	-3.351985	-3.247928	0.097565	0.818616	-1.961787	-0.366242	0.007433	-1.890400	-3.187451	1.351043	-2.764197	0.164070	-0.464739	-2.957215	-1.288157	1.350112	-0.653442	1.247399	0.828800	0.191426	-0.383073	-0.993732	0.672885	-0.179882	-1.824777	-3.016808
Probe 360	0.132132	-0.704214	-3.954964	-0.443835	-0.576875	-0.645432	0.228838	0.545338	-0.436943	0.081321	0.186261	1.594754	-0.053965	0.524500	2.210817	-3.066511	0.245606	0.089061	-1.881790	0.149066	2.281163	0.370055	0.379483	-4.146246	-0.792261	-0.185556	0.259263	-1.382847	-0.420512	-2.757271	0.439285	-0.877247	-4.851905	0.209981	-1.894528	0.669374	0.000000	-1.060132	0.840036	-0.083416	-0.073834	-0.739754	-0.288228	-1.109859	1.335010	1.070141	-0.159166	-0.134930
Probe 361	0.235228	-0.535623	-1.408228	-0.712544	0.240738	-2.246438	-1.053055	-1.164607	-0.314443	-1.174343	-0.235470	-1.279707	1.219263	-0.823530	1.159654	-1.039019	0.455425	1.056070	-0.246745	0.166354	0.197156	0.328623	-2.708914	-1.553091	0.538186	-0.752664	-1.272789	-0.495947	0.165923	-0.230189	-0.796709	-0.048163	1.553871	-0.653538	0.542048	-1.499052	0.095655	0.212373	2.067675	-0.429760	-0.187033	-0.591172	-1.353237	0.114616	-0.317463	-0.427525	-1.764174	-0.286906
Probe 362	-0.156519	-0.114333	-3.653220	-2.787964	0.326012	-3.797013	-3.116514	-1.559820	1.460538	-3.382667	-2.763394	-1.652407	0.195463	-0.689941	-1.098412	0.000000	0.422875	1.502500	-0.649830	-2.702063	-1.400199	0.225138	-3.925999	-3.468583	-0.965146	-2.550197	-1.356255	0.951306	-1.288353	-0.426289	0.915787	-2.670720	-1.414822	1.209617	0.217792	0.000000	0.000000	0.618499	0.854395	-2.050273	-3.333424	-0.067596	-2.511060	1.269041	-3.112700	0.934574	-2.234706	0.778685
Probe 363	0.228018	0.432839	0.001644	0.457798	0.521984	-0.131245	0.590690	1.362467	-0.038135	0.740229	0.820164	0.134930	0.753313	0.119798	0.569067	0.000000	-0.235216	-0.847437	0.072233	0.308793	-0.514102	-0.551015	-0.024107	0.610928	-0.322444	0.498069	0.789294	0.000000	0.932516	-0.024875	1.453767	1.175024	0.277958	0.825971	0.000000	1.078726	0.030890	0.000000	-0.079779	1.333526	0.011988	0.287775	0.302783	-0.677325	1.992391	0.139365	-0.221783	0.677578
Probe 364	-0.657345	-0.536977	-1.170371	0.203300	2.829203	-2.916042	-0.091834	-1.501258	1.732117	1.344467	1.252358	-2.384447	1.319909	-3.401291	-1.034444	-2.434312	0.326554	-0.473742	1.253966	0.104366	-0.302095	-0.871318	-2.415410	-2.555168	0.245775	-0.194322	0.201760	1.152103	-0.357661	1.721564	-2.837547	0.356224	2.002409	0.000000	-0.356047	-0.145740	-0.376100	-0.009448	1.998090	0.608731	-5.026878	0.498319	1.783203	-0.236159	-0.535159	1.575759	-3.038340	-1.482028
Probe 365	0.286466	-0.455050	-0.729057	-0.557538	1.440378	-1.526486	0.168052	-0.140877	-0.368797	-0.450930	0.251154	-0.817458	1.190248	-0.464214	0.948826	-0.655784	0.631744	0.612854	-0.366611	0.709088	0.376135	0.159029	-1.767928	-1.028533	0.822843	0.277325	-1.174216	-0.338999	0.378363	0.037424	-0.253518	0.108138	1.544146	-0.344225	0.539598	-0.901863	0.128348	0.412975	1.937082	0.207727	-0.184048	-0.422506	-1.146497	0.260881	0.051656	-0.144780	-1.021431	-0.013496
Probe 366	-0.627223	-0.185410	1.654367	-0.365181	0.849094	-1.480846	0.912500	2.208702	0.108575	1.561358	1.531774	-0.142318	0.682640	-3.737666	-0.536971	0.000000	1.231904	-0.428062	0.916792	1.254436	-0.058589	1.586495	0.949901	0.933475	0.317455	1.699334	0.210547	0.330779	1.338248	1.246300	-1.369724	1.586788	1.568871	3.182408	-0.194583	0.553936	0.000000	2.249235	-0.517915	1.313820	-2.061888	0.536560	0.492280	0.359063	1.069963	-0.037121	-1.166101	0.653670
Probe 367	-0.083065	0.345965	-0.064228	-0.255257	0.579680	-0.177480	0.058073	-0.149674	0.275687	0.289978	1.133341	-0.073032	0.485208	-0.384969	0.617805	-0.544027	1.032040	1.538757	0.028921	-0.107915	1.475414	0.244640	-0.167290	-1.263253	0.115939	0.289816	-0.410955	-0.017067	0.211211	0.803767	0.253353	0.602903	1.893512	-0.970508	1.503518	0.260474	1.683816	0.229482	0.639445	0.220554	0.559293	-0.458279	-0.114079	0.501710	0.716542	-0.477674	-0.037708	0.636450
Probe 368	0.331263	-0.257681	-0.299687	-0.078579	0.561923	-0.762652	0.830461	1.804668	0.225548	-0.052601	1.446683	0.858591	0.890273	0.376208	0.508017	0.816662	0.396157	0.073373	0.878030	1.972809	1.249284	0.987103	-1.295756	-0.443923	0.077216	0.733598	0.416669	-0.399880	0.833181	-0.116149	1.434235	1.046626	0.406021	0.000000	0.460347	0.421464	0.659561	0.496852	0.856687	1.808075	1.699066	0.769387	0.116790	0.977491	2.904582	0.442919	-0.894747	-0.846033
Probe 369	-1.918230	-2.699916	-1.736244	-2.201986	-1.454396	-1.922147	-2.232234	-1.693157	-3.076902	-1.146658	-1.062016	-2.260038	-0.876768	-3.485996	2.005044	-2.052189	-1.188861	2.180190	-1.938747	-2.358021	-1.198820	-1.232411	-1.122377	-1.712278	-2.740998	-1.973051	-1.084550	-1.837530	-0.575201	-2.228577	-2.423775	-1.750623	-1.814086	-1.055916	-1.165109	-1.922795	-0.652635	-1.134749	-1.324758	-1.065413	-2.936736	-2.976648	-2.107438	-2.653782	-1.312637	-1.967649	-2.844719	-0.255804
Probe 370	0.268076	-0.550743	-0.285732	0.564614	-0.792767	0.252580	3.057362	4.184760	-0.443486	-0.302563	2.570972	-0.458627	-0.203947	0.734442	1.498057	0.000000	0.274041	0.208225	-0.104547	1.820411	0.219660	-0.386748	0.288245	0.656419	-0.594076	3.009848	0.017853	-0.163557	-0.386046	0.076292	2.353189	1.500988	-1.257080	0.000000	0.000000	-0.911221	0.000000	-0.061798	0.055377	1.710670	-1.110644	-0.335800	-0.726239	-1.093148	2.527648	-0.099172	-0.783438	-0.699798
Probe 371	0.189282	-0.453598	0.112811	0.109589	1.359460	0.327835	0.606149	0.328508	0.293085	1.089930	0.786619	0.227860	1.463168	-1.285538	-0.029344	1.607172	0.982298	1.038008	0.402900	1.019597	0.557906	0.442435	0.209347	0.672959	0.532072	0.527372	-0.015077	0.471241	1.473099	0.330810	0.009025	0.732049	1.333334	0.000000	-0.317341	-0.223977	1.626514	1.004176	0.134860	1.134191	-0.258838	-0.596060	-0.281446	0.703370	1.029662	0.637430	-0.209648	0.767295
Probe 372	0.683526	-0.334192	1.614013	0.002941	0.549796	0.483022	0.539497	0.886853	0.184740	1.288569	0.823690	1.046187	-0.011435	-1.183678	0.158646	0.000000	0.346904	-0.884873	2.522384	-0.176980	0.600189	0.196265	0.513325	0.011850	-0.587465	0.490094	0.795782	0.000000	1.169150	1.369456	-0.542100	1.267208	1.175895	0.341753	0.000000	0.934842	-0.868755	1.001184	-0.631186	1.533604	0.583905	0.690145	0.133215	0.509278	1.083435	0.396031	-0.588784	0.339057
Probe 373	0.375388	0.376033	-0.391739	0.208186	0.000000	-2.302670	1.882434	1.847666	-0.660001	0.446077	0.990382	1.571558	0.459021	-1.202629	0.317861	-0.124071	0.931469	1.152930	0.666775	1.225475	0.858688	-0.557331	-1.155623	-0.306261	0.927396	1.914215	-0.117178	0.551101	0.012299	0.437396	-0.484275	1.804816	0.340781	0.862769	0.556766	-0.100012	0.324920	1.263339	0.589716	1.705688	-0.962566	0.332718	-0.139082	-0.208876	1.664432	-0.461278	-0.327005	0.305702
Probe 374	-0.231134	0.787271	0.553705	0.040099	0.061653	-1.013841	-2.111639	-1.713202	1.117859	-1.146174	-2.186262	-0.631234	1.081085	-3.428036	0.248441	-2.111942	1.051839	0.908677	0.356927	-1.761590	0.936026	0.388935	-3.422476	-1.647972	-1.067146	-2.078059	-1.664076	-0.206697	-0.520290	0.679285	-0.863365	-1.627107	1.678797	-1.303104	1.353637	-0.923124	0.111017	1.211004	1.031213	-0.195321	0.842779	-1.346723	-1.689430	0.519482	-1.744662	0.663370	-1.587718	0.769796
Probe 375	-0.575898	-0.034646	1.382702	0.000000	-0.657986	-0.428487	2.225286	1.683973	-0.415954	-0.310550	2.331074	-0.198258	0.604411	0.094299	-1.049831	0.626439	0.675932	-0.243054	-0.110374	2.077547	-1.360256	0.932886	-1.240165	0.759038	-0.085518	2.165292	-0.574322	0.000000	-0.819324	-0.279993	0.201634	3.014842	0.063027	0.000000	0.000000	0.354350	-0.906891	0.266515	0.888755	1.947911	0.029337	0.379366	0.853846	-0.350802	1.521496	-0.465608	0.788684	-0.816819
Probe 376	1.559968	0.762337	-0.396503	-1.658877	1.092819	-4.115200	-0.255349	-1.513855	-0.898016	1.701432	3.161918	-0.800456	-0.464358	-1.330873	0.026499	0.000000	1.149788	2.240875	1.685224	-0.333294	0.187892	0.256311	-4.379898	-3.042468	0.866242	-0.493721	-2.912984	0.620573	0.883740	0.371712	-2.834303	1.752204	0.456822	0.000000	1.325634	-1.402098	0.599003	0.768390	-1.191275	0.653134	-2.707671	-0.193385	0.503192	2.775376	0.775710	-0.855651	-2.361944	-1.424537
Probe 377	-0.183963	-0.624432	-1.856236	-0.160465	-0.036965	-3.114194	0.729039	0.547793	1.310237	-1.109624	-0.435425	-3.302324	0.012483	-2.629090	0.760415	0.000000	-1.125003	1.154519	-0.465778	0.462920	-1.051347	-0.805572	-3.101864	-3.659925	1.400517	0.504725	-0.794605	0.439923	-0.180410	-0.461965	-1.208055	1.000000	-0.532047	-3.041644	0.000000	-2.568239	1.387513	-1.211579	0.194459	-0.682982	-1.869777	-0.885995	-0.431874	1.181177	-1.746785	-1.743691	-0.570482	-0.863498
Probe 378	0.705491	-0.248711	0.404818	-1.144139	-1.019413	-0.840404	0.409113	2.146308	-0.042178	-0.811320	1.147101	-0.876886	-1.219197	-1.614983	-0.754704	0.000000	-0.269888	0.896357	0.285805	0.711908	-0.650297	-0.666444	-0.667691	1.432586	0.238959	0.519374	-0.277310	-0.113048	0.460525	-0.850399	-1.098253	0.622526	-3.165108	0.000000	0.000000	0.492357	-0.029747	0.096368	-0.109775	1.923902	-0.898906	-0.437723	-1.071342	-1.132343	2.268957	-1.695145	-0.425237	0.088365
Probe 379	1.966645	-0.461195	0.077571	1.603638	1.533418	-2.581499	-2.465580	-2.005434	0.382349	-0.670692	-2.690953	0.277930	1.688872	-2.672846	0.919795	0.000000	0.915048	0.604117	1.218630	-1.602180	0.887034	1.634184	-2.581857	-1.854044	0.960924	-2.595909	0.198900	-0.805489	0.321509	1.816187	0.522611	0.124958	1.627912	-0.288746	0.900072	-0.752155	0.423609	-1.033997	1.062223	-1.503098	-0.922807	-0.219627	-0.509869	2.242090	-1.646924	1.103263	-2.836501	0.603156
Probe 380	-0.660777	0.000000	-0.238625	0.312535	0.023427	-3.881788	-1.021295	-2.237243	0.947599	-0.441157	1.103783	-1.392428	0.168212	-0.607497	1.431976	0.000000	1.807355	0.132367	0.197275	-0.338313	-3.543496	0.413986	-3.287030	0.090563	-2.661755	-0.536117	-0.921288	-4.116864	-0.184812	1.635261	-3.185867	-2.679526	1.901052	-0.285340	-0.311944	-2.207805	0.179149	0.992505	0.963092	-2.811796	1.207138	0.188668	-0.412598	-0.925188	-0.735730	-0.852165	-0.494498	-1.038433
Probe 381	-1.903291	0.830226	0.207504	-0.347368	-0.606715	1.912446	1.013130	-0.402503	-0.419034	0.906891	1.355273	-0.539086	-0.912943	-0.186842	-0.662166	1.408307	0.272869	0.205657	-1.183739	1.247548	0.593962	0.587910	0.691738	0.270089	-0.433573	0.944774	-1.160040	0.779329	-0.389730	0.467096	-0.014706	0.931686	-0.550444	-0.140321	0.111217	-0.135251	0.561697	0.257586	-0.325800	0.159024	0.408465	0.501729	-0.135838	-0.657983	0.702813	-0.315466	1.348614	-1.128008
Probe 382	0.420745	-0.100269	-2.098180	0.344707	-2.745610	-2.728928	0.190684	-3.645138	-3.729642	0.117836	-1.025947	1.325825	-2.731888	1.181781	-0.179747	0.000000	0.373880	0.727012	-0.713846	-0.660127	0.176427	-0.365604	-2.907466	1.266178	-0.604591	-0.511632	-1.879243	-0.692477	-0.339956	-1.540149	0.749553	0.039572	-1.779140	-0.098490	0.557995	0.332161	-1.679039	-0.694745	0.387609	-0.596190	-0.123195	0.813132	-1.674625	-1.279259	0.182382	0.357585	-2.230595	0.207251
Probe 383	0.919382	-0.674264	-0.567092	1.389827	0.128188	1.413196	-1.039528	-1.302864	-0.694666	0.919658	-0.320150	1.007096	0.971489	-1.053439	-0.066756	0.000000	0.556114	-0.001294	0.182183	0.265894	1.275227	-0.547600	-0.595092	-0.651390	-1.560088	-1.091148	-0.641306	0.000000	-0.188915	0.256098	0.786675	0.007744	0.132509	0.848611	0.192935	1.618206	-0.682507	0.566680	-0.704082	0.272080	1.448217	0.128457	0.380349	0.368458	-0.344361	1.765878	-0.557698	1.306449
Probe 384	0.437498	0.031338	-1.154129	1.154107	-0.669035	-0.974366	-0.985640	0.053572	0.511453	-0.518428	0.007278	0.711881	-0.472280	-0.224592	1.444143	-0.662965	-1.488540	-1.834993	-0.445373	-0.419026	0.103871	0.966634	0.392745	0.275038	0.505354	-0.786949	-0.330843	-0.240556	0.508290	-0.911248	1.737759	0.037534	0.351840	0.539562	0.030828	-0.275584	-0.583402	-0.782246	-0.186170	0.574328	0.640762	-0.059373	0.400496	0.305726	-0.242400	0.588895	-0.067482	-0.406020
Probe 385	-0.131384	-0.152434	-0.731547	0.196975	0.000000	0.111271	-1.436030	-1.399607	-0.826299	-1.903353	-1.660042	-0.085408	-0.062750	1.930705	0.246718	-0.830601	0.698741	-0.712636	-1.055282	-1.513139	-0.757392	0.095605	0.648873	1.271359	-1.054787	-1.230729	-0.234929	0.000000	0.419843	0.099240	-0.040240	-1.438927	1.078683	0.000000	-0.520771	-0.760742	-0.950429	-0.636976	0.472345	-1.081625	-1.120752	0.100364	0.370392	-1.595814	-1.086028	-0.471072	-0.562382	-1.594700
Probe 386	-1.353812	0.453314	0.267165	0.162950	-2.041929	-0.922417	-4.398354	-3.378163	1.166024	0.177661	-2.162650	-2.755142	-2.049436	-3.557946	0.848543	-2.708091	-1.249692	-0.701021	-2.486816	-3.501329	-2.343954	-0.318041	-3.507235	-2.500195	-4.497811	-3.729300	1.567264	-0.430230	-0.319379	-0.900909	-3.528487	-3.253066	-1.698431	0.000000	-2.944481	-0.007278	-0.106225	-1.381464	-1.474156	0.000000	-3.751414	-0.680635	-0.883059	-1.608745	-2.973582	-1.306937	-2.162207	-1.066637
Probe 387	-0.020759	-1.205059	-0.251949	-1.498492	1.874237	-0.638849	-1.089267	-0.781093	-1.843881	0.621684	-1.526490	-1.411321	-0.203214	-0.288426	-1.934419	0.000000	-1.313158	-0.482552	-0.976379	-1.574393	-1.186117	0.903198	-1.280682	-1.275056	-1.704188	-0.994218	1.080395	-1.481284	-0.808328	-0.554535	-1.393415	-0.524955	-0.372380	0.000000	0.000000	1.149311	-0.110558	0.898765	-0.450215	-1.281750	-1.359123	-0.386291	0.298711	-1.530138	-1.206409	0.662725	-0.711255	2.497131
