Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48	Training experiment 49	Training experiment 50	Training experiment 51	Training experiment 52	Training experiment 53	Training experiment 54	Training experiment 55	Training experiment 56	Training experiment 57	Training experiment 58	Training experiment 59	Training experiment 60	Training experiment 61	Training experiment 62	Training experiment 63	Training experiment 64	Training experiment 65	Training experiment 66	Training experiment 67	Training experiment 68	Training experiment 69	Training experiment 70	Training experiment 71	Training experiment 72	Training experiment 73	Training experiment 74	Training experiment 75	Training experiment 76	Training experiment 77	Training experiment 78	Training experiment 79	Training experiment 80	Training experiment 81	Training experiment 82	Training experiment 83	Training experiment 84	Training experiment 85	Training experiment 86	Training experiment 87	Training experiment 88	Training experiment 89	Training experiment 90	Training experiment 91	Training experiment 92	Training experiment 93	Training experiment 94	Training experiment 95	Training experiment 96	Training experiment 97	Training experiment 98	Training experiment 99	Training experiment 100	Training experiment 101	Training experiment 102
Probe 75	-0.228137	-0.542908	-0.307771	-0.805498	-0.692464	-0.152016	-0.253938	-0.479889	-0.520022	-0.722007	-0.574838	-0.387208	-0.345995	-0.227604	-0.439464	-0.103260	-0.250623	-0.297082	-0.342625	-0.428415	-0.653403	-0.441163	-0.560642	-0.456410	-0.799131	-0.495167	-0.677903	-0.424578	-0.290671	-0.196138	-0.614381	-0.541689	-0.558623	-0.322169	-0.298923	-0.281996	-0.523761	-0.290844	-0.505283	-0.302091	-0.271267	-0.597561	-0.282211	-0.547488	-0.350693	-0.473859	-0.348595	-0.304071	-0.549423	-0.286147	-0.621381	-0.465260	-0.266706	-0.393782	-0.503310	-0.711003	-0.440912	-0.508499	-0.548719	-0.788374	-0.366984	-0.363537	-0.731231	-0.323303	-0.287241	-0.428655	-0.449099	-0.476571	-0.202577	-0.523719	-0.455613	-0.310573	-0.324681	-0.329750	-0.743656	-0.513302	-0.894470	-0.313613	-0.526842	-0.414906	-0.410951	-0.687835	-0.373514	-0.185474	-0.341489	-0.331187	-0.468528	-0.490405	-0.638918	-0.237032	-0.444805	-0.602807	-0.187558	-0.498124	-0.392840	-0.563526	-0.600829	-0.481444	-0.286915	-0.299772	-0.297438	-0.264009
Probe 76	1.226169	0.663234	0.809431	1.003663	1.066903	1.386192	0.803778	1.348132	0.617422	1.216544	0.353039	0.854347	0.698184	1.182762	0.824002	0.859958	1.773257	1.830363	0.783266	0.855017	1.056578	0.894176	0.729553	1.257497	1.103589	1.325980	1.287006	0.933463	1.146868	1.270456	0.569275	0.901779	0.462468	0.618625	0.659462	0.817554	0.681780	0.858000	0.510079	0.890577	0.806104	0.464721	0.621234	0.711816	0.710369	0.856753	0.733289	0.691506	0.556567	0.699943	1.107372	1.330739	1.910779	0.939659	0.369015	1.113398	0.732937	0.597467	0.533219	1.005016	0.811064	1.056302	1.258908	0.774886	0.737031	1.429302	0.832672	1.346081	1.856325	0.497850	0.871453	0.768451	0.568457	0.491382	0.992507	1.215107	1.090415	0.809119	0.915080	0.888131	0.786670	0.835460	0.870017	0.816999	0.750189	0.818956	0.785653	0.627793	0.826260	1.258325	0.890394	0.554584	1.486219	0.520792	0.763398	0.845938	0.546918	0.821753	0.844312	0.595040	0.663915	0.604222
Probe 77	-1.243435	-1.009362	-1.220812	-0.642148	-0.908591	-1.341457	-0.871999	-0.951409	-1.490261	-0.877945	-1.236122	-0.679089	-1.400440	-1.007573	-1.114313	-0.955117	-0.636126	-0.724875	-1.542352	-0.705842	-0.808322	-0.613276	-1.033101	-0.589707	-0.693383	-0.529189	-0.936148	-0.883484	-0.992840	-1.083727	-0.991509	-1.102823	-1.271964	-1.755760	-1.858383	-0.988176	-1.527130	-1.249797	-1.116386	-1.183886	-1.015675	-1.222842	-1.659131	-1.198407	-1.348028	-1.117315	-1.589299	-1.346177	-1.233962	-1.927248	-0.603361	-0.838390	-0.751236	-0.647564	-0.993098	-0.815399	-1.214804	-1.549262	-1.536446	-0.790588	-1.510264	-0.785927	-0.895670	-1.194238	-1.874116	-1.041799	-1.080442	-0.932831	-0.613129	-1.503399	-1.051791	-0.913344	-1.633115	-1.590464	-0.787670	-0.754321	-0.752675	-1.529924	-1.087067	-0.653155	-1.128544	-0.710150	-1.148227	-0.873793	-0.984022	-1.520006	-1.074723	-1.131515	-0.879273	-1.119884	-0.631126	-1.129587	-1.229583	-1.448309	-1.450181	-0.987240	-1.490756	-1.157998	-1.176706	-1.792425	-1.748470	-1.780946
Probe 78	0.347347	-0.121937	-0.050698	0.718889	0.743167	0.408677	0.102619	0.331059	0.253770	0.609956	0.076397	0.422881	0.109584	0.367015	0.112826	0.129663	0.733757	0.723992	0.081975	0.421877	0.611676	0.430614	0.028821	0.267297	0.654193	0.251789	0.572592	0.217311	0.255741	0.426806	-0.189853	0.021411	0.173597	0.173143	0.164421	0.033934	0.228844	-0.071072	0.103275	-0.045159	0.071695	0.151306	0.186604	-0.078894	0.191202	0.207411	0.030373	0.159149	0.185752	0.142390	0.690028	0.305662	0.845545	0.429802	0.133746	0.705935	0.204910	0.157996	0.117240	0.757538	0.090982	0.292148	0.511306	-0.081227	0.160487	0.369698	0.086150	0.305404	0.696972	0.203551	0.176625	0.066534	0.201645	0.178507	0.688706	0.209415	0.818590	0.085303	0.003868	0.490719	0.021820	0.129445	-0.097811	0.102271	0.064487	0.132528	0.234763	-0.194421	0.108926	0.347906	0.380832	0.115278	0.551692	0.140486	0.034752	0.125187	0.135882	0.204929	-0.068583	0.194671	0.174437	0.140633
Probe 79	1.050831	0.103491	0.385610	0.113394	0.506584	1.125285	0.097111	1.038663	0.234475	0.391988	0.157715	0.094049	-0.081872	0.961751	0.264558	0.049767	1.385124	1.527859	0.472959	0.151426	0.388651	0.069319	0.170040	1.008973	0.273434	0.887609	0.449029	0.319993	0.925835	1.087094	0.253305	0.337541	0.018981	0.308921	-0.027457	0.029612	0.357587	0.450341	0.115521	0.417284	0.081885	-0.014667	0.387639	0.152776	-0.074048	0.376160	0.390377	-0.115748	-0.009689	-0.088107	0.404149	1.089875	1.238348	0.074485	0.030663	0.431545	-0.201985	0.224411	0.243420	0.391199	0.307200	0.740059	0.492712	0.362720	-0.085294	1.113474	0.297340	1.046205	1.533653	0.228356	0.266086	0.174610	-0.104938	0.125266	0.275753	0.839946	0.238537	0.425979	0.266042	0.015605	0.252944	0.149980	0.442020	-0.066437	0.150079	0.417714	0.359528	0.123727	0.231297	1.078687	0.088916	0.016395	1.336473	0.189121	0.381970	0.126553	0.133310	0.335157	0.383699	0.255488	0.366141	0.388414
Probe 80	-0.088986	-0.168141	0.000959	-0.785144	-0.462174	-0.044618	-0.361056	-0.233544	-0.101107	-0.648235	-0.218425	-0.549036	-0.334951	-0.095815	-0.066014	-0.299042	-0.572084	-0.532480	-0.068567	-0.570137	-0.598930	-0.602378	-0.141338	-0.230594	-0.609193	-0.307126	-0.596910	-0.190917	-0.100998	-0.164052	-0.174705	-0.128469	-0.201511	-0.036562	-0.148708	-0.402677	-0.104129	0.034287	-0.286603	-0.017788	-0.407933	-0.148269	0.024055	-0.097775	-0.252733	-0.054959	0.056825	-0.231725	-0.170115	-0.243218	-0.565848	-0.246424	-0.494590	-0.627752	-0.230293	-0.546876	-0.252795	-0.092663	-0.082526	-0.620846	-0.093546	-0.150396	-0.616401	-0.006280	-0.220878	-0.246418	-0.057807	-0.233600	-0.531186	-0.134884	-0.128944	-0.360012	-0.200923	-0.063227	-0.672930	-0.302032	-0.726674	-0.030967	-0.103406	-0.531943	-0.023829	-0.269292	0.028575	-0.339847	-0.406613	-0.059974	-0.176150	-0.093500	-0.169657	-0.032479	-0.503168	-0.199353	-0.094867	-0.091755	-0.072750	-0.124474	-0.163988	-0.135467	0.031878	-0.007273	0.008369	0.021879
Probe 81	0.665644	-0.237679	0.149104	-0.146236	-0.154853	0.770810	-0.082898	0.911890	0.282848	-0.256288	0.137043	-0.391200	-0.450197	0.600156	0.234209	-0.232838	0.638681	0.713660	0.087948	-0.434875	-0.257839	-0.321921	0.163885	0.831666	-0.315371	0.683474	-0.136329	0.248370	0.568657	0.696493	-0.075364	0.261664	0.087218	0.065217	-0.340008	-0.195366	0.341864	0.200906	0.114650	0.139573	-0.176027	0.124928	0.096316	-0.092572	-0.235445	0.212513	-0.040808	-0.450572	0.056413	-0.274726	-0.096321	0.931659	0.757043	-0.394985	0.122369	-0.149414	-0.350055	0.261385	0.266758	-0.252669	-0.014824	0.400977	-0.190960	0.102167	-0.391623	0.923288	0.321945	0.925504	0.777502	0.184785	0.313929	-0.177753	-0.343815	0.062148	-0.161475	0.751173	-0.182348	0.104839	0.216736	-0.448935	0.158426	0.312807	0.141397	-0.174738	-0.165076	0.064696	0.256186	-0.175294	0.183641	0.694483	-0.456907	0.200083	0.877996	0.294050	0.024222	0.214164	0.217668	0.225437	0.096164	0.039391	0.121246	0.112818
Probe 82	-0.549562	-0.938299	-0.505009	-0.765873	-0.200249	-0.636744	-0.255825	-0.456519	-0.805857	-0.600518	-0.920654	-0.502886	-1.163863	-0.668705	-0.466666	-0.381340	-0.738915	-0.704293	-0.709519	-0.509705	-0.299091	-0.580836	-0.914336	-0.535566	-0.460527	-0.563528	-0.539384	-0.384684	-0.731069	-0.585978	-0.641355	-0.882477	-0.945307	-1.058612	-1.006526	-0.241577	-0.707841	-0.489906	-0.604222	-0.560753	-0.328737	-1.035970	-0.893374	-0.915235	-1.082524	-0.400502	-0.746004	-1.035716	-1.068235	-1.176467	-0.538028	-0.441067	-0.696751	-0.616153	-0.993123	-0.052583	-1.210296	-0.796118	-1.040447	-0.390824	-0.623160	-0.796862	-0.519288	-0.574101	-1.176237	-0.428181	-0.237348	-0.430951	-0.667432	-0.746453	-0.486543	-0.329207	-1.252268	-1.011694	-0.293420	-0.595014	-0.620386	-0.671224	-0.957129	-0.485645	-0.533827	-0.964464	-0.484995	-0.465604	-0.168655	-0.591365	-0.254907	-1.106754	-0.910157	-0.539019	-0.392585	-0.999217	-0.551650	-0.815628	-0.662749	-0.951469	-0.805510	-0.412892	-0.508855	-0.936030	-0.926844	-1.031193
Probe 83	1.881711	1.431076	1.268094	1.589566	1.769339	2.025168	1.065105	2.154056	1.494130	1.543999	1.621869	0.909593	1.295226	1.872089	1.594559	0.836221	2.175221	2.200515	1.309525	0.952339	1.529201	1.113086	1.784059	2.053460	1.640349	2.071962	1.494413	1.663532	1.858605	1.939064	1.469563	1.821415	1.461543	1.533317	1.325950	1.034121	1.434626	1.186344	1.561622	1.264897	1.228448	1.634661	1.440994	1.440116	1.418291	1.612333	1.123579	1.298774	1.467478	1.340513	1.780150	2.180456	2.157820	1.072965	1.639966	1.714903	1.488305	1.390768	1.392875	1.814203	1.277479	1.795311	1.460581	1.140124	1.425623	2.171807	1.453011	2.126502	2.313126	1.343337	1.616572	1.084953	1.458697	1.492124	1.666464	2.016144	1.775034	1.192902	1.831225	0.956500	1.414364	1.925741	1.175298	0.906875	1.132307	1.262816	1.557405	1.478540	1.835299	1.906999	0.759009	1.560823	2.158212	1.322929	1.276587	1.872003	1.342981	1.568871	1.239396	1.444972	1.381833	1.409086
Probe 84	-0.018654	0.005383	0.106240	-0.231541	-0.279334	-0.099931	-0.108111	-0.547839	0.295995	-0.468884	-0.206093	-0.189145	-0.411649	-0.086881	0.235896	-0.176097	-0.448418	-0.572514	0.242383	-0.204015	-0.221281	-0.247745	-0.162816	-0.277970	-0.218543	-0.422729	-0.411028	0.300940	0.003837	-0.192294	0.309072	-0.086576	-0.249741	0.167530	-0.491964	-0.129081	0.331738	0.401321	-0.213202	0.386276	-0.223993	-0.186104	0.251877	-0.039602	-0.488958	0.283099	0.434857	-0.432570	-0.214491	-0.441332	-0.319039	-0.520143	-0.566133	-0.272495	-0.238299	-0.280289	-0.491203	0.363272	0.422461	0.102511	0.232825	-0.040651	-0.328676	0.110309	-0.482922	-0.671299	0.256853	-0.448332	-0.405742	0.434337	0.241582	-0.300663	-0.444942	0.150210	-0.170020	-0.248466	-0.424493	0.188220	-0.051173	-0.320602	-0.147332	-0.294438	0.383588	-0.159488	-0.240990	0.173915	0.317648	-0.070115	-0.244064	-0.047889	-0.271613	-0.128704	-0.193572	0.397046	0.202949	-0.207296	0.446040	0.242917	0.476510	0.271305	0.199302	0.260347
Probe 85	-0.642556	-0.498057	-0.297195	-0.737863	-0.671682	-0.614859	-0.572909	-0.712550	-0.063339	-0.633549	-0.597789	-0.460368	-0.540360	-0.623218	-0.135434	-0.636729	-0.769459	-0.994485	-0.141005	-0.476405	-0.681930	-0.554268	-0.840742	-0.605799	-0.693254	-0.660557	-0.704634	-0.371118	-0.616382	-0.754945	-0.434131	-0.776894	-0.479078	-0.269709	-0.411874	-0.707187	-0.041997	-0.203210	-0.571147	-0.288898	-0.585323	-0.585125	-0.231774	-0.610893	-0.384566	-0.301742	-0.160400	-0.550354	-0.577773	-0.397892	-0.638989	-0.629233	-0.757136	-0.560686	-0.523798	-0.679619	-0.490020	0.011277	0.083642	-0.645604	-0.277552	-0.384256	-0.630157	-0.262515	-0.453290	-0.685273	-0.211873	-0.723727	-0.833980	0.016218	-0.231133	-0.641953	-0.488029	-0.290303	-0.771989	-0.628829	-0.653930	-0.102606	-0.814240	-0.465861	-0.323424	-0.637819	-0.146866	-0.748683	-0.698374	-0.217279	-0.208690	-0.720612	-0.801302	-0.590106	-0.376348	-0.425611	-0.658214	-0.052889	-0.199586	-0.795261	0.175324	-0.215798	-0.179989	-0.253328	-0.286830	-0.183277
Probe 86	0.877502	0.906976	1.240563	0.508424	0.262471	0.744704	0.831564	0.578845	1.475879	0.300045	1.010083	0.811466	0.732381	0.855687	1.494354	0.657282	0.041267	0.034134	1.404018	0.797497	0.406200	0.670529	0.726717	0.650439	0.609989	0.570678	0.350464	1.421300	0.917482	0.792203	1.014364	0.753020	0.956943	1.240294	0.866388	0.740689	1.451125	1.203649	0.778071	1.043234	0.895496	0.937702	1.257683	0.751381	0.903024	1.599036	1.218776	0.815846	0.923720	0.886285	0.233385	0.590090	0.093233	0.671246	1.040025	0.395622	0.756844	1.512139	1.601928	0.292620	1.324133	0.763551	0.343908	1.212790	0.813657	0.616904	1.455393	0.618108	0.133808	1.588444	1.455508	0.923078	0.892449	1.218503	0.489667	0.653291	0.363815	1.384245	0.648670	0.803487	1.003935	0.830377	1.277008	0.690316	0.863208	1.300240	1.454733	0.871648	0.729825	0.891434	0.780066	0.947913	0.759924	1.461473	1.296917	0.760699	1.671046	1.576269	1.200764	1.271911	1.245270	1.285022
Probe 87	1.393601	0.140974	0.656209	0.178851	0.354093	1.645899	0.476294	1.807980	0.575873	0.320308	0.110759	0.283142	0.301120	1.320045	0.089984	0.575755	1.702304	1.832699	0.321073	0.277722	0.268663	0.241885	0.177634	1.677913	-0.028269	1.559839	0.326160	0.211969	1.277030	1.475494	0.214410	0.271958	-0.045575	0.311075	0.287473	0.449218	0.697235	0.604629	-0.019563	0.604618	0.346267	0.027019	0.329057	0.155335	0.265389	0.267175	0.259886	0.335383	-0.050456	0.307676	0.285750	1.833220	1.763613	0.296210	0.053019	0.367953	0.170698	0.582627	0.526040	0.329615	0.183812	1.040001	0.373784	0.517425	0.240967	1.853126	0.209021	1.819601	1.879663	0.516903	0.188534	0.414466	0.297617	0.183983	0.210040	1.578025	0.067777	0.298647	0.275714	0.189886	0.544094	0.333408	0.591373	0.566031	0.458562	0.287731	0.334770	0.162199	0.184795	1.498373	0.319706	0.091645	1.781909	0.514592	0.263059	0.078059	0.399619	0.186473	0.550293	0.257782	0.377712	0.351365
Probe 88	0.968481	-0.999722	-0.197530	-1.069323	-1.001210	1.342352	-0.631530	0.416041	-0.286494	-1.138345	-0.709354	-1.102239	-1.065033	0.752312	-0.674830	-0.630295	0.632363	0.629796	-0.239236	-1.053486	-0.970618	-1.068366	-1.141244	0.334645	-1.083791	0.066800	-1.089527	-0.615417	0.715757	1.145785	-0.859687	-1.020871	-0.759911	-0.206302	-0.951123	-0.896155	-0.247828	-0.197366	-0.858515	-0.222539	-0.508292	-0.890905	-0.155275	-0.625711	-0.890249	-0.674780	-0.300826	-0.828534	-0.880048	-0.844274	-0.936642	0.419083	0.668869	-0.970098	-0.820863	-0.876541	-1.122366	-0.287440	-0.455806	-1.133261	-0.347641	0.525910	-1.115701	-0.303646	-1.282148	0.484381	-0.614851	0.432185	0.874475	-0.385029	-0.648495	-0.551355	-1.127477	-0.337524	-1.115529	0.043972	-1.235553	-0.230657	-1.062907	-1.156327	-0.428064	-1.013907	-0.240676	-0.691195	-0.818812	-0.226979	-0.526932	-0.789445	-1.172807	1.174051	-1.053154	-0.865006	1.627448	-0.407921	-0.259453	-1.119226	-0.545467	-0.673506	-0.186682	-0.306695	-0.183879	-0.220448
Probe 89	-0.419026	-0.702130	-0.452052	-1.211517	-1.196661	-0.333427	-0.817298	-0.439413	-0.540680	-1.348911	-0.619963	-0.661539	-0.605488	-0.351866	-0.400345	-0.821828	-0.739965	-0.590188	-0.654254	-0.694215	-1.064923	-0.598508	-0.472302	-0.444274	-1.119570	-0.514870	-1.499255	-0.421604	-0.401225	-0.411610	-0.574984	-0.505008	-0.547811	-0.443540	-0.422615	-0.865770	-0.527569	-0.459340	-0.627040	-0.401740	-0.748329	-0.489720	-0.442407	-0.461874	-0.477347	-0.349535	-0.590180	-0.521157	-0.578356	-0.600085	-0.856291	-0.460685	-0.690189	-0.576739	-0.485469	-1.200336	-0.572297	-0.542747	-0.539460	-1.216978	-0.630737	-0.559117	-1.546187	-0.488726	-0.527602	-0.400732	-0.367069	-0.421111	-0.686397	-0.581709	-0.463154	-0.968087	-0.511572	-0.522389	-1.043294	-0.511501	-1.054763	-0.585515	-0.405924	-0.667926	-0.528267	-0.760778	-0.482849	-0.933521	-0.855358	-0.637027	-0.405578	-0.552835	-0.661534	-0.303979	-0.733380	-0.516391	-0.319228	-0.541329	-0.655128	-0.462237	-0.609666	-0.485748	-0.413665	-0.420811	-0.489287	-0.392955
Probe 90	0.735119	0.832584	0.753095	0.823408	0.825999	0.655128	0.644202	0.610756	0.866798	0.859143	0.896752	0.762850	0.796747	0.695374	0.907130	0.581734	0.500368	0.528423	0.716164	0.796547	0.779745	0.747851	0.854590	0.692736	0.920972	0.679467	0.880452	0.785811	0.731726	0.664807	0.891039	0.854082	0.824715	0.990645	0.721391	0.572745	0.831747	0.763583	0.820596	0.714580	0.709702	0.874925	0.947224	0.753694	0.798440	0.926902	0.598837	0.724892	0.851918	0.739440	0.764084	0.649882	0.550521	0.751225	0.877507	0.911027	0.766593	0.922021	0.992391	0.784709	0.724521	0.703263	0.908720	0.743719	0.743856	0.595986	0.853715	0.654607	0.507064	0.898498	0.867125	0.626722	0.807846	0.986080	0.845776	0.711201	0.749772	0.718149	0.874908	0.776615	0.741540	0.785137	0.733804	0.595391	0.672939	0.694329	0.868719	0.879142	0.811088	0.672933	0.730628	0.934206	0.589133	0.888116	0.742036	0.824997	0.976029	0.871043	0.735185	1.005054	0.951170	1.033782
Probe 91	1.724594	0.870896	1.147399	0.494738	0.254854	1.933763	1.096318	2.330825	1.144125	0.344240	0.478003	1.063994	1.018173	1.665405	0.443271	1.149626	2.110665	2.219106	0.504491	1.002356	0.419325	0.938688	0.606367	2.243403	0.519036	2.046941	0.414618	0.676937	1.564693	1.831709	0.695529	0.722530	0.575777	0.629751	0.907118	1.158919	1.225062	1.145171	0.479881	1.233038	0.864538	0.402908	0.743502	0.976081	0.800062	0.431106	0.590258	0.911594	0.617924	0.910416	0.595970	2.336351	2.185606	1.008511	0.424433	0.247870	0.784753	1.163039	0.962267	0.345212	0.556634	1.461234	0.437651	1.085904	0.808302	2.410950	0.626803	2.325410	2.215144	1.099305	0.455991	0.991148	0.734783	0.594742	0.467616	2.016512	0.503361	0.593432	0.633119	1.033410	1.155413	0.745955	1.167062	1.095592	1.075333	0.587747	0.666524	0.904949	0.519142	1.801805	1.138610	0.337065	2.161811	1.020509	0.509277	0.591236	1.009929	0.497452	1.179842	0.675392	0.702368	0.605789
Probe 92	0.497009	0.134233	0.517662	-0.347915	-0.019574	0.489085	-0.236499	-0.220591	-0.195511	0.261999	-0.123427	0.026636	-0.261479	0.510318	0.134188	-0.367631	-0.068161	-0.175123	0.260130	-0.040767	-0.064560	-0.078810	0.355409	-0.071595	-0.324191	-0.182876	0.399013	0.013688	0.426096	0.356097	0.207018	0.337996	-0.139391	0.426001	0.030703	-0.352041	-0.120322	0.622422	-0.155811	0.538880	-0.312910	-0.075819	0.558221	0.249332	-0.013658	0.059438	0.301768	-0.021852	-0.136635	-0.032690	-0.292806	-0.172384	-0.190341	-0.116049	-0.126164	0.097021	-0.306291	-0.182776	-0.150035	-0.290626	0.221648	0.348988	0.423918	0.506074	-0.105779	-0.112603	0.205294	-0.129242	-0.062483	-0.146006	0.008211	-0.367656	-0.069862	0.314803	-0.345355	-0.241439	-0.520527	0.359214	0.500096	-0.059853	0.430492	-0.308085	0.600753	-0.402692	-0.329432	0.222522	0.075303	0.076302	-0.005304	0.495292	-0.107358	-0.199189	0.367710	-0.115726	0.198490	0.243443	-0.237324	0.005463	0.576874	0.401513	0.504482	0.538895
Probe 93	0.987112	0.707594	0.956649	0.016587	0.472191	1.165619	0.355250	0.841020	0.412157	1.213432	0.436706	0.240360	0.289361	0.970922	0.580187	0.285670	0.680404	0.766322	0.747129	0.328177	0.340001	0.195608	1.061215	1.013508	0.215595	0.859313	1.224247	0.541841	0.907089	1.047364	0.777905	1.054499	0.410346	0.806818	0.378202	0.342049	0.460671	1.042349	0.463415	0.942893	0.398718	0.479026	0.849916	0.702329	0.268405	0.580065	0.823040	0.365681	0.452521	0.269364	0.194282	0.979261	0.690524	0.158918	0.428275	0.595769	0.262223	0.379077	0.402030	0.220714	0.746298	0.820866	1.397226	0.969015	0.194490	0.998077	0.603661	0.999278	0.847178	0.366582	0.546802	0.305949	0.222093	0.715928	0.128946	0.809732	0.014619	0.775568	1.144023	0.194355	0.785898	0.565547	0.996056	0.280401	0.363079	0.767324	0.610642	0.678874	0.714304	1.036140	0.014274	0.442735	1.188384	0.421271	0.709170	0.961726	0.319270	0.553032	1.026742	0.797359	0.806982	0.860047
Probe 94	0.779338	0.213902	0.456473	-0.416132	-0.351287	0.839906	0.217113	0.505692	0.593155	-0.121800	0.044619	-0.237924	0.116333	0.734358	0.354505	0.221685	-0.017320	0.026787	0.530000	-0.250978	-0.252834	-0.298848	0.296777	0.561395	-0.347411	0.475280	0.021427	0.374680	0.685525	0.741462	0.183207	0.363025	0.062573	0.425393	0.073514	0.212541	0.648933	0.531284	0.013939	0.477828	0.108036	0.102419	0.437487	0.347981	0.065378	0.397354	0.778277	0.083975	0.130648	0.103007	-0.350580	0.551379	-0.015272	-0.260914	-0.012573	-0.157808	0.060576	0.601374	0.518776	-0.327793	0.585410	0.675455	0.049734	0.447796	0.031887	0.575460	0.478532	0.540546	0.101100	0.543824	0.383389	0.128525	0.026838	0.371219	-0.325000	0.452969	-0.381357	0.552119	0.350836	-0.232294	0.413137	0.153495	0.484021	0.180741	0.159633	0.599477	0.490144	0.188798	0.199032	0.777462	-0.112159	0.110692	0.837692	0.600416	0.589769	0.276377	0.538790	0.408826	0.511135	0.467777	0.445780	0.455729
Probe 95	1.236632	0.842341	0.982512	0.230373	0.178234	1.417747	0.875739	1.321109	1.475924	0.437296	0.588970	0.930718	0.662031	1.202712	1.046242	0.723536	1.090572	1.189804	0.874847	0.877683	0.114690	0.948981	0.610905	1.232989	0.329553	1.126506	0.513768	1.123261	1.132339	1.252237	0.866412	0.732486	0.617471	0.868873	0.701239	0.746450	1.539465	1.079664	0.571818	1.032047	0.802283	0.670609	0.918766	0.815209	0.733149	1.151011	0.806021	0.668639	0.633478	0.669357	0.343886	1.265502	1.126058	0.923366	0.548553	0.256649	0.680654	1.515681	1.370082	0.064754	0.843358	1.032956	0.569236	0.972314	0.688114	1.374920	1.181778	1.336914	1.208412	1.327094	1.121404	0.684640	0.684700	0.786652	0.198663	1.125525	0.093348	0.855332	0.747440	0.872266	0.840572	0.527659	1.033629	0.733781	0.753819	0.846505	1.185721	0.857578	0.488079	1.244420	0.909668	0.688879	1.467784	1.490759	0.840627	0.669451	1.403539	1.093641	1.098962	0.843901	0.884669	0.924697
Probe 96	1.270555	0.328425	0.588342	0.147241	-0.163707	1.538277	0.808614	1.072796	0.924610	-0.106160	0.374458	0.889557	0.505353	1.294118	0.259615	0.684511	0.776986	0.799580	0.607986	0.846809	-0.055332	0.809568	0.180193	1.044256	0.110376	0.898931	-0.118841	0.436633	1.123025	1.439512	0.265326	0.177982	0.378577	0.503917	0.599965	0.711401	0.959007	0.598557	0.428393	0.637933	0.758597	0.394844	0.479776	0.381384	0.480939	0.289144	0.312652	0.584976	0.392533	0.623013	0.062982	1.091377	0.683972	0.790958	0.338124	-0.117169	0.442520	0.878595	0.796026	-0.016641	0.547943	1.102007	-0.055818	0.585369	0.614425	1.121663	0.337778	1.017597	0.775358	0.832253	0.444750	0.658521	0.528882	0.445164	0.042572	0.905820	0.010969	0.565347	0.184366	0.740960	0.613167	0.181044	0.593320	0.738141	0.722784	0.594099	0.521391	0.417307	0.087406	1.323288	0.849986	0.253049	1.671423	0.902962	0.547887	0.009736	0.754355	0.413613	0.605794	0.481958	0.544558	0.432902
Probe 97	0.390156	0.024504	-0.017164	0.460093	0.757863	0.456457	-0.015663	0.312154	0.186174	0.724356	-0.067850	0.326052	-0.005937	0.378480	0.108624	-0.127576	0.772906	0.808244	0.013735	0.294210	0.686112	0.309479	0.047791	0.266814	0.540947	0.220699	0.834743	0.168826	0.317238	0.427408	0.051200	0.120431	-0.182915	0.094748	-0.024355	-0.035061	0.185420	0.063112	-0.167165	0.052712	0.024831	-0.150361	0.064801	0.232805	0.078968	0.154300	0.385493	-0.014370	-0.081286	0.156191	0.607180	0.350176	0.753760	0.372094	-0.103728	0.793978	0.077316	0.092405	0.069446	0.740884	-0.045898	0.258149	0.795660	-0.016451	0.065767	0.385032	0.139941	0.286853	0.915610	0.043743	0.099729	-0.016306	0.192415	-0.012405	0.504410	0.190275	0.488650	-0.038793	0.166229	0.344303	0.104999	0.082493	0.052003	-0.131540	-0.001991	-0.000333	0.207087	0.006861	0.116452	0.387915	0.273814	-0.075961	0.622287	0.093174	-0.032217	0.198049	0.113982	0.101756	0.101157	0.104241	0.099677	0.068053
