Probe ID	Training experiment 1	Training experiment 2	Training experiment 3	Training experiment 4	Training experiment 5	Training experiment 6	Training experiment 7	Training experiment 8	Training experiment 9	Training experiment 10	Training experiment 11	Training experiment 12	Training experiment 13	Training experiment 14	Training experiment 15	Training experiment 16	Training experiment 17	Training experiment 18	Training experiment 19	Training experiment 20	Training experiment 21	Training experiment 22	Training experiment 23	Training experiment 24	Training experiment 25	Training experiment 26	Training experiment 27	Training experiment 28	Training experiment 29	Training experiment 30	Training experiment 31	Training experiment 32	Training experiment 33	Training experiment 34	Training experiment 35	Training experiment 36	Training experiment 37	Training experiment 38	Training experiment 39	Training experiment 40	Training experiment 41	Training experiment 42	Training experiment 43	Training experiment 44	Training experiment 45	Training experiment 46	Training experiment 47	Training experiment 48	Training experiment 49	Training experiment 50	Training experiment 51	Training experiment 52	Training experiment 53	Training experiment 54	Training experiment 55	Training experiment 56	Training experiment 57	Training experiment 58	Training experiment 59	Training experiment 60	Training experiment 61	Training experiment 62	Training experiment 63	Training experiment 64	Training experiment 65	Training experiment 66	Training experiment 67	Training experiment 68	Training experiment 69	Training experiment 70	Training experiment 71	Training experiment 72	Training experiment 73	Training experiment 74	Training experiment 75	Training experiment 76	Training experiment 77	Training experiment 78	Training experiment 79	Training experiment 80	Training experiment 81	Training experiment 82	Training experiment 83	Training experiment 84	Training experiment 85	Training experiment 86	Training experiment 87	Training experiment 88	Training experiment 89	Training experiment 90	Training experiment 91	Training experiment 92	Training experiment 93	Training experiment 94	Training experiment 95	Training experiment 96	Training experiment 97	Training experiment 98	Training experiment 99	Training experiment 100
Probe 315	5.304139	5.391524	5.314802	5.342580	9.834889	5.265901	5.466043	5.431951	5.066516	7.285434	5.485639	5.543522	9.149843	7.523202	9.499376	5.160559	6.654612	5.342033	5.352766	5.587680	5.249034	8.501786	5.144211	5.398081	6.104017	5.063215	5.351330	5.015538	5.520043	5.386661	5.662148	5.326054	5.503723	5.193217	7.495487	5.332123	5.578210	9.361482	5.317606	5.979552	9.979813	5.491526	5.309165	9.812954	5.143728	5.193473	9.914834	5.643657	5.120187	5.235176	5.078688	9.193591	5.143957	5.324036	7.291072	6.143284	5.141844	5.497926	5.611377	5.078629	9.275626	7.814108	5.649752	9.161429	5.306211	5.291968	5.637544	7.067613	5.561193	5.833237	6.409468	6.368227	5.459601	5.258665	9.930303	5.172012	6.457371	5.324278	5.055425	7.076463	8.724082	5.333277	5.628471	5.569493	5.174556	5.322418	5.099801	4.961790	8.002031	6.972248	5.121285	5.130863	7.085059	5.415236	5.171495	5.270670	7.056454	5.642742	9.371830	5.302669
Probe 316	9.334680	7.329950	7.545402	8.945886	10.820751	5.747214	8.378596	7.602966	6.203083	6.050406	9.133409	8.449746	10.549003	5.914687	7.273501	7.673944	7.082612	7.743120	9.262654	6.066396	5.994323	7.319165	5.852237	9.279813	9.225493	7.350758	11.259784	5.511868	7.067148	6.815546	8.660600	9.311455	6.452292	7.424024	7.006265	7.954369	8.197818	10.303474	8.717834	7.887346	6.669232	8.681282	8.548302	8.175669	7.366402	5.747395	10.498120	8.783906	9.846623	8.291087	7.634694	7.751426	10.781861	7.138089	8.154124	9.447580	7.694887	6.650470	8.701120	7.555120	10.330871	7.480964	9.140312	10.506884	5.933540	8.270649	8.817408	9.099308	8.275323	9.483605	9.509117	8.247999	7.331923	9.231805	10.741041	8.115961	9.299917	6.176255	11.673414	7.871392	7.067069	8.849332	5.948553	6.508864	8.859374	9.485191	9.670197	7.201022	5.540598	9.127308	11.928726	8.513429	9.535992	5.481210	6.220680	7.513950	7.937982	7.908431	10.204104	6.853475
Probe 317	5.895999	5.889232	5.674113	5.936812	7.601691	5.522955	6.012893	5.842073	5.433100	6.163762	6.935692	5.953661	8.325868	6.718276	9.271611	5.776019	5.457492	5.623122	7.681518	6.015137	5.854467	7.649038	5.591425	6.626545	5.877116	5.381924	5.843361	5.605802	6.103364	6.073205	6.075059	10.604601	6.291130	5.741583	6.138614	5.687643	6.683835	8.766326	5.803804	6.279102	9.198128	5.952809	6.067202	10.298776	5.647599	5.584781	10.852932	6.301489	5.633016	5.573365	5.480827	8.985995	5.671283	5.671268	7.434655	5.798892	6.018405	5.990590	6.411561	5.487375	8.352991	7.365792	10.264516	6.982307	5.828827	5.523971	6.637174	6.238080	5.520165	5.717650	5.843155	6.097655	6.081584	5.889887	10.715029	5.682822	5.880598	5.722531	5.517894	7.523656	9.044986	5.916641	5.901050	6.307357	5.387003	6.837499	5.562765	5.333248	7.212106	6.168754	5.692574	5.870810	5.485100	6.042571	5.936269	5.675622	6.060970	5.911812	8.811021	5.781556
Probe 318	7.801689	5.428542	8.121275	5.251881	6.834944	5.030503	5.363471	6.322100	6.880769	5.190268	8.546483	6.305893	5.374341	5.297848	5.614465	7.917404	9.410437	9.414350	6.999572	6.450859	7.739274	6.188637	10.018030	7.195566	5.333381	8.814721	8.957734	7.456123	6.729465	7.026066	5.400380	9.718673	6.821753	9.037776	7.801361	5.247699	5.624424	5.604116	5.310599	8.214113	6.157926	6.043121	8.264955	6.607209	6.091065	8.620118	6.933002	5.339582	8.142530	5.140941	9.846115	6.870741	9.213713	5.260272	8.937008	5.054767	6.489032	5.250934	7.451091	5.936367	5.398138	6.903274	9.373452	6.569675	7.728212	5.482619	8.345178	5.723456	8.822518	7.176404	5.090897	6.674648	6.951091	4.833034	6.752701	10.571076	4.784335	6.515284	9.408696	5.798955	6.665832	8.833979	7.235406	6.294150	9.848286	7.809054	10.330441	9.445826	5.146588	5.439730	8.735167	9.624593	5.105818	8.067721	5.563265	5.906663	6.515469	6.213058	5.125570	6.705745
Probe 319	5.701855	10.103983	5.821781	5.617285	6.005167	10.409781	5.731114	5.486159	5.668852	5.578523	5.519712	5.822868	5.844044	5.720777	5.627567	5.842358	5.425191	5.549128	5.756813	6.072280	9.232992	5.604231	9.575443	5.486591	5.954027	5.719800	9.990486	5.459681	5.929648	7.602142	5.767529	5.320775	5.714944	5.657121	5.998243	10.284549	5.918380	6.829451	10.696322	5.402435	5.343383	5.678237	6.415930	5.352370	5.931592	5.545209	6.816050	5.970823	10.567732	10.451152	5.553756	5.801162	9.161148	9.770121	5.335705	5.755803	6.699502	9.687206	6.100317	10.036769	5.968237	5.509971	5.457508	5.856738	5.796936	10.502420	5.686694	5.454748	6.890775	5.480229	5.767086	5.621480	7.016762	5.401601	5.625635	5.415399	6.057018	7.922375	10.508969	5.814237	5.727512	6.947888	5.699470	5.911495	5.882959	5.452732	9.948082	5.276384	6.000146	5.520133	10.991018	5.218459	5.562356	7.507943	5.940100	10.067574	5.408627	5.806916	5.877743	7.912389
Probe 320	5.571012	9.102979	5.971733	5.524275	7.861100	10.046559	5.836424	7.739334	6.345750	7.231459	5.660228	5.724995	8.010052	7.868024	5.892774	6.669885	6.295916	5.414800	5.527819	11.312842	10.072956	5.548423	9.547544	5.424534	5.963457	7.748907	7.598766	9.329247	6.777051	8.532992	5.698417	5.487212	7.425561	6.706911	6.362365	8.935242	5.606769	7.958442	9.441245	5.568818	5.382668	5.502647	6.747444	5.766458	6.946942	7.156463	7.246269	6.025857	8.739601	9.187279	5.376009	5.664499	7.184832	9.106483	5.582459	5.538045	7.335258	8.684386	5.976727	9.329544	8.041380	5.427457	5.583003	7.704499	6.011691	9.207807	5.361991	5.332005	7.072851	5.419677	5.838035	5.620778	7.619028	5.445043	6.861914	5.381958	5.596965	8.158756	7.318052	5.806009	5.675083	6.551649	7.103631	9.281585	6.718490	5.409736	8.283037	6.902682	8.317756	5.495131	8.273559	7.363369	5.319659	8.817621	8.907196	9.057090	5.495335	5.495509	8.294858	10.897037
Probe 321	5.652940	6.377969	6.028057	5.985316	9.256176	6.153982	5.814354	6.978689	6.518799	6.028528	5.807540	5.928576	8.094577	5.858933	6.220062	7.833723	5.850863	5.776485	5.788051	10.680834	7.092282	6.067838	5.890250	5.696220	6.019951	7.389348	5.937095	10.594596	6.546887	6.040039	6.059113	8.187760	6.422492	7.341120	6.414329	6.025462	5.830308	8.434551	6.194866	5.797586	5.860889	5.891833	6.734769	6.626738	6.297774	6.784059	6.846893	5.928029	6.150382	6.090535	5.941664	6.006742	5.861567	6.025047	5.640152	6.071537	5.865437	6.025169	6.276986	6.152721	8.630449	5.771375	7.767061	8.293635	6.873156	6.056307	5.904519	5.969985	8.961468	5.813311	5.989675	5.949019	5.856012	5.890412	6.931173	5.767899	5.973947	6.169030	5.865982	6.245327	6.042944	6.403931	6.394069	7.988449	6.436088	5.566315	6.232921	7.080344	6.358725	6.012408	5.921855	6.948651	6.001197	7.194816	6.279415	5.991807	5.598567	5.386988	8.783186	9.885491
Probe 322	5.341725	6.158366	5.268039	5.639894	11.678491	5.691738	5.580446	10.116736	7.928313	5.693160	6.503685	5.570135	11.628704	5.739394	8.229183	9.159724	7.244693	5.176808	5.445812	12.047043	9.304064	5.572609	5.406524	5.486595	5.352157	8.725240	6.699333	11.509793	10.369606	8.137434	5.487758	10.454773	10.533458	9.012639	7.361326	5.417651	6.039001	11.716962	5.580443	6.536433	6.447343	5.494047	8.764408	9.774171	9.443480	8.059032	11.687683	5.515057	6.020451	5.412749	5.120586	8.021130	5.908709	5.674592	6.476205	5.344426	10.042145	5.642615	5.377235	5.214630	11.764902	5.676084	9.415924	11.628341	8.409624	6.528737	5.927021	5.308991	10.285432	5.118588	5.192512	5.350127	7.568404	5.361061	11.809079	5.365851	5.739361	8.374938	5.534282	8.027747	6.374812	8.813142	10.667772	11.135444	7.558116	5.443939	6.259933	8.070551	5.652993	5.627066	5.872839	7.170816	5.213107	8.914448	10.132881	5.370255	5.497372	5.659289	11.580270	11.286339
Probe 323	4.762435	6.493956	5.871953	6.092330	7.372666	7.424294	4.665064	6.320557	6.545195	6.678052	6.657434	3.570069	5.266991	6.937382	5.830635	6.095251	5.872236	5.432913	5.806764	5.796019	6.955675	6.878174	5.840965	5.086600	5.887911	7.747695	6.356778	8.558180	6.404982	6.454180	5.853786	6.523801	5.089061	8.200626	5.336043	6.320968	4.859958	5.782298	5.900570	4.934114	7.562469	5.756380	8.575481	7.179788	8.439001	6.899225	5.060779	5.416089	5.788731	6.470443	4.221315	6.039012	5.806883	7.232529	7.858538	6.304850	6.872022	5.786118	4.818559	7.914843	6.233302	6.816301	6.322949	4.844870	6.060369	7.596956	4.438218	6.918998	5.449480	5.952798	6.592689	6.582789	7.065500	6.739186	4.975764	5.231589	5.673645	7.766971	5.910411	5.124258	8.802094	6.561078	6.885928	5.652461	6.736685	6.005970	6.035290	6.623105	6.042364	6.695736	5.680635	6.691999	8.368550	4.893905	8.452796	7.207489	6.658535	5.907355	6.858925	7.487813
Probe 324	5.361226	8.253532	4.878218	5.229121	10.355824	7.857585	5.421721	11.107117	4.663284	10.247623	6.098050	5.250911	9.505781	10.086479	9.833658	5.400441	4.748167	4.741632	5.790846	9.974816	10.709808	8.605885	10.166780	5.217418	5.296524	5.183801	10.103784	4.305123	10.672897	10.740177	4.958671	8.930579	10.427578	5.038195	6.564394	8.982485	8.868087	9.670466	8.555133	6.545920	9.963080	4.829886	5.678268	9.888234	11.096678	4.491677	10.949397	5.517370	9.245791	8.635966	4.492517	9.703071	9.838508	8.081640	7.429762	5.966520	10.918675	8.735205	5.664881	8.824175	9.620523	8.642761	8.808134	10.026342	4.840116	8.805290	6.597908	7.140146	6.520765	5.068327	5.706318	6.526156	10.704448	5.255156	10.995361	4.511425	5.873552	10.895384	10.845592	9.142242	8.915557	5.656156	10.815848	10.457417	4.723907	5.468448	10.406788	4.510599	9.602297	6.873769	10.276128	4.797038	5.228868	10.619749	10.969885	8.716064	6.612977	6.524549	9.421730	10.511560
Probe 325	5.174395	5.140564	5.298283	5.181033	5.422712	5.080581	5.782397	7.212648	5.336128	5.251768	5.285495	5.098720	5.473666	5.190732	5.565278	5.171824	4.983881	5.082647	5.199837	8.901312	8.073606	5.147183	5.173037	5.371377	5.716240	5.003558	5.151216	5.157716	8.271833	9.523165	5.317004	5.187826	7.955451	5.189258	5.208901	5.261941	5.185407	5.384591	5.255699	4.981200	5.177616	5.384948	5.079825	5.183097	7.049531	4.946045	5.166899	5.589927	5.172384	5.187479	5.141926	5.267414	5.172921	5.319725	5.127056	5.263903	5.697721	5.599703	5.451271	5.023334	5.455755	5.281259	5.607524	5.538222	5.392508	5.225151	5.378360	5.027877	5.439760	5.244051	5.467881	5.343362	9.595505	5.184004	5.300766	5.115020	5.153081	9.214052	5.055300	5.593794	5.406137	5.355561	8.543424	8.666344	5.026321	5.039533	5.115301	4.964687	5.590536	5.157072	5.105780	5.192229	4.885317	8.649887	5.668522	5.200257	5.012820	5.649496	5.265100	7.832270
Probe 326	8.042834	8.431931	5.764960	9.443001	9.303837	8.153083	9.591334	5.102654	5.366142	9.570595	7.897893	8.330017	8.518231	9.525514	9.524565	6.918535	5.878738	5.423559	9.226722	7.000656	4.674965	9.179883	5.835655	9.469139	8.709654	6.467536	6.966605	4.443305	5.837266	4.839134	6.627533	7.534387	5.923100	6.690582	6.894973	9.075456	9.454435	9.224308	9.087559	8.929823	9.773658	8.561950	6.631237	9.069494	4.899681	5.342159	10.358295	8.638533	8.730885	9.377175	5.283419	9.516172	6.980724	7.667127	9.087884	9.172401	5.532620	8.672297	5.719889	9.299696	9.051382	9.199573	7.992430	8.503228	4.714827	8.239630	8.176883	9.829927	7.254093	9.595095	9.409508	9.009695	5.161146	9.764283	9.860194	5.256639	9.248572	5.065086	8.468299	9.263622	7.756429	6.999110	6.964787	6.143237	6.780173	9.938667	6.717059	5.941724	9.439076	9.591306	7.087627	6.605355	9.720499	5.477946	5.229326	9.043415	8.748487	8.067707	8.734015	7.056477
Probe 327	4.567747	8.133496	4.159309	8.710525	8.662017	7.978608	8.739242	4.519454	4.104069	9.123822	4.721943	6.400225	6.558120	9.118106	7.661653	5.143126	4.536315	4.148352	7.658822	4.874568	4.572112	7.321832	5.125613	7.683654	7.385291	4.561866	7.597012	4.129906	4.288650	4.697828	4.788130	4.189809	4.507104	4.813154	5.213920	9.205075	7.140805	7.422702	9.316064	6.651375	8.047339	6.704323	5.990108	7.174877	4.252802	3.894130	8.573203	7.775112	8.105500	9.437095	3.888788	7.722145	7.364925	7.129245	7.606308	7.807478	5.125702	8.964743	3.640548	9.366506	7.203322	7.971291	4.317169	7.790424	3.918214	8.314572	5.420756	8.651051	6.147771	8.076716	8.065606	7.939734	4.250843	8.780368	7.822618	3.939281	7.943462	4.438795	8.453913	6.904121	5.840847	5.570656	4.633275	4.685358	5.169638	7.833778	6.652793	4.528766	9.112953	8.455405	8.004280	4.023912	8.840758	4.589336	5.571728	9.115176	7.187557	6.752954	7.249731	6.449166
Probe 328	6.336062	7.429544	5.157711	8.543298	7.356489	6.368350	7.827704	5.706488	4.725015	8.119123	5.969568	6.839183	6.293820	8.437712	7.933912	5.990103	5.316983	4.276030	8.291371	6.688878	4.732518	7.850719	4.807220	8.460408	8.009384	5.281479	6.008423	4.690726	5.411469	5.103388	5.984270	5.970166	5.676684	5.988283	5.500406	8.081209	8.215845	7.101708	8.111224	7.538460	8.401052	7.537293	5.712623	7.985895	4.453280	4.987726	9.516427	7.969661	7.950971	8.183792	4.453839	8.328126	6.145319	5.861640	8.210362	7.815139	5.436480	6.872535	4.947858	8.416216	7.212675	7.922929	4.300096	6.618700	4.826675	7.145685	6.492288	8.544188	6.155468	8.611950	8.511996	8.184993	5.370186	8.858665	8.993464	4.861979	8.327816	5.388498	7.429816	7.308908	7.011918	5.900970	6.768431	6.086588	5.166051	8.749033	5.558862	4.747448	7.936989	8.403294	6.160981	4.931863	8.374539	5.225569	5.178163	8.043080	7.705603	7.056847	6.875917	6.239588
Probe 329	4.855332	4.794177	4.763536	4.655166	5.234257	5.766917	5.029602	8.441419	5.071324	4.480418	4.754986	4.978886	4.985281	4.724439	4.892039	5.004606	4.275554	4.589073	4.640975	10.854635	9.482991	4.673991	4.521341	4.576408	4.765022	5.277150	5.048246	9.687003	7.636328	9.521566	4.858005	4.493393	8.577479	5.391170	5.126978	4.829438	4.712048	5.433463	4.668720	4.968023	4.612427	4.366396	5.537476	4.854064	7.067102	4.812524	6.618583	4.861138	4.850205	4.596256	4.369131	5.080072	4.473660	6.374460	4.766398	4.641548	6.059058	4.799166	4.867119	4.567446	4.987475	4.613893	4.940286	5.173673	4.965665	5.004834	4.694392	4.813554	5.342247	4.568821	4.811023	4.833134	9.331303	4.429624	6.256310	4.315563	4.813640	9.371348	4.456220	5.034645	4.499669	5.089289	8.800211	8.885785	4.614850	4.378583	4.612969	4.875514	4.946992	4.557620	4.667112	6.041795	4.595802	10.343020	7.674827	4.618947	5.090831	4.958444	5.036645	9.208361
Probe 330	9.921886	10.352252	7.938972	10.010574	10.586587	10.726228	10.258302	8.545942	10.397496	10.936641	9.487480	8.876680	10.030095	10.660564	10.539076	9.955887	9.470550	7.707057	8.877839	10.275137	9.992651	10.217553	6.477264	9.318326	9.069922	9.915802	9.998721	7.113789	8.815450	8.289841	6.626817	8.544877	9.318778	10.573815	10.268200	10.763362	10.347831	10.503941	10.991419	9.286500	10.597588	8.442886	9.943294	9.929889	7.568903	9.938683	11.167929	9.023720	10.231801	11.096554	8.170175	10.476100	9.755533	10.517393	9.397903	9.870746	7.623635	10.727469	6.714038	11.106695	10.174875	10.311106	8.658756	10.065678	9.923854	10.503445	10.022480	10.700747	10.410860	9.722055	10.006673	9.971660	7.856013	9.907579	10.758086	7.075383	10.091906	7.524036	10.047535	10.226165	8.209477	10.083979	9.301158	8.981841	9.838780	9.742278	9.468768	9.857457	10.575648	10.594412	9.935238	8.350488	10.468021	9.610866	7.326763	10.976864	9.933373	9.208784	10.227970	9.485487
Probe 331	3.208926	3.190548	3.256243	3.174499	3.258199	3.380065	3.326970	7.419588	3.443301	3.099853	3.204693	3.144405	3.227736	3.465602	3.331932	3.353752	2.958092	3.145865	3.234926	7.866224	10.200633	3.276022	3.190628	3.169744	3.269610	3.444609	3.546486	3.165251	6.652817	10.090974	3.075586	3.297683	6.881957	3.157593	3.807367	3.133238	3.267792	3.328058	3.207465	3.094132	3.196285	3.159688	3.416393	3.455593	6.784137	3.332831	3.753736	3.295780	2.990878	3.114094	3.103059	3.337390	3.060679	3.208562	3.116034	3.218517	4.205731	3.279947	3.508367	3.061311	3.386153	3.095188	3.351594	3.592123	3.279538	3.269587	3.259905	3.160828	3.365090	3.327431	3.075747	3.406983	10.310747	3.119148	3.870790	3.080844	3.077363	10.035361	3.050386	3.215761	3.308729	3.179578	4.592007	5.988913	3.487520	3.000020	3.122415	3.335249	3.313442	3.143719	3.353163	3.805463	2.889316	10.578277	4.799875	2.987340	3.097524	3.308517	3.266201	6.106296
Probe 332	8.347306	9.794105	6.213078	9.556413	6.995814	9.512042	8.479180	6.172579	6.582838	6.534409	9.522954	9.174785	7.259228	6.575508	7.954063	6.093539	5.816839	6.739209	10.087624	7.967970	6.776676	9.829437	8.064639	9.805733	9.263426	5.922669	7.251101	6.787654	6.506701	6.388775	10.473216	9.147517	6.181670	5.724944	6.617856	10.801585	9.924124	7.199157	9.331547	10.569451	8.772475	10.156444	6.081175	10.044531	5.978199	5.945305	6.764546	9.327416	9.880944	9.582188	6.182117	8.327585	7.703761	9.604495	10.743191	9.825725	8.871119	9.112153	6.910971	10.191600	7.043303	10.458362	9.405970	6.648408	6.200794	10.611346	9.588545	9.544415	5.981464	10.422827	9.826613	10.804131	6.551828	9.756934	6.446465	5.997792	9.679604	6.377671	8.015955	8.392601	9.488143	5.654800	5.933003	8.657887	5.695128	9.951370	7.766161	5.580851	6.719562	9.550511	7.194986	7.393213	9.507469	7.078725	9.962539	10.188737	10.789954	10.706282	7.024622	8.672543
Probe 333	6.353713	6.628557	6.028175	6.086750	6.654063	6.063244	6.064549	9.453131	7.575436	6.561561	6.034704	6.410441	6.602350	6.337149	6.081238	8.503739	5.917667	5.998851	5.885200	8.947312	7.172037	6.111546	5.915585	6.109200	6.200698	8.281789	7.745651	8.007488	8.846183	7.926065	5.962537	5.509087	8.898867	7.923644	6.804521	6.788961	6.142854	6.638729	7.763837	6.137069	5.999143	6.001111	7.493422	6.091906	9.847194	7.296409	6.627512	6.254790	7.390558	7.112125	5.702793	6.115589	7.580901	5.839796	5.822031	6.039784	9.682631	6.656420	6.018699	6.401186	6.454205	6.203253	6.109066	6.760350	7.191259	6.058120	5.837001	5.526796	8.285594	5.798641	5.865467	6.341896	7.858097	6.004830	6.829939	5.800933	6.000680	7.492115	7.497354	6.535023	6.019707	7.231223	9.254359	8.594882	7.459360	6.022032	6.854847	7.427571	6.209198	5.852731	8.524673	6.324694	5.619523	7.273166	9.569784	6.527405	5.834129	6.337316	6.313319	8.080776
Probe 334	7.640687	5.312017	6.885875	5.478337	6.358894	5.260872	5.800616	6.086148	6.364672	5.687383	7.601457	6.398139	5.723021	5.499488	5.804472	6.967104	8.276675	8.086118	6.014207	6.024692	7.150942	5.975480	8.203542	6.964748	5.860352	7.687433	8.133284	6.601962	6.736192	6.894574	5.803520	8.723295	7.035062	8.499144	7.409673	5.469190	5.585406	5.636736	5.746259	7.752385	6.097390	5.832176	8.168646	6.048047	6.165211	7.519197	6.039725	5.953290	7.754610	5.257950	9.139917	6.367697	8.162864	5.270053	7.507638	5.392444	6.213985	5.505509	7.693401	5.924832	5.605539	6.393538	8.448951	6.516215	7.162490	5.379097	8.034478	5.541338	7.815942	6.328936	5.592159	6.157761	6.709101	5.180041	5.847403	10.800730	5.622296	6.224144	8.531621	6.120283	6.078713	8.185251	6.751825	6.406418	9.037457	6.885590	9.620542	8.560328	5.303548	5.524274	7.901181	8.584605	5.255905	7.546239	5.435764	5.737418	5.676738	5.950711	5.731057	6.517152
Probe 335	6.325174	6.425679	6.068283	6.339686	6.298707	7.170807	6.924963	10.036551	6.140892	6.059157	6.209815	6.621928	6.791639	6.076027	6.460056	6.081841	5.771904	6.011904	6.273078	11.889924	9.790228	6.136604	6.456159	6.082352	6.470825	6.006955	6.190972	9.293801	10.076348	8.876936	6.226172	6.057561	9.001142	5.874934	6.247426	6.274605	6.261149	6.243077	6.144933	6.993873	6.462398	6.105377	6.404117	7.409811	9.127150	6.074023	6.475187	6.547342	6.185744	6.069527	5.918438	6.536106	6.008063	7.374962	6.657525	6.286896	9.111095	6.233582	6.216861	6.180549	6.249994	6.256676	6.296491	6.143465	6.086295	6.415273	6.051855	5.954303	6.394976	6.372274	6.201116	6.028005	8.844748	6.139684	6.735403	6.017804	6.485675	8.208195	5.917444	6.322075	6.472465	6.173252	7.839070	10.455330	5.947856	6.018304	6.014853	5.966398	6.647182	6.030721	6.084491	6.055991	5.927895	10.434124	9.812525	6.021246	6.336156	6.824441	6.328130	10.771107
Probe 336	7.641603	5.681059	8.988317	5.663492	6.369378	5.570116	5.464556	6.296416	8.229114	5.662763	8.098752	6.221714	5.503619	5.511993	5.932310	9.059910	9.916618	9.714256	7.823580	6.031381	7.139031	6.278586	9.471352	7.522282	5.615406	9.532598	8.438979	6.661112	6.643983	6.719677	5.884417	8.952251	6.884697	9.440197	8.714568	5.897263	5.662629	5.876230	6.076660	8.140016	6.267689	6.881444	8.759255	6.345744	6.337570	9.348766	7.955818	5.663180	7.779683	5.877753	10.215712	6.360503	9.084503	5.891099	8.195798	5.472776	5.978820	5.516750	7.545929	6.295015	6.299616	7.205417	8.827153	6.493444	8.392772	6.306732	8.207804	5.738099	8.977055	7.161520	5.660451	6.843531	6.685231	5.460394	8.391746	9.420190	5.644994	6.589556	9.162164	6.167384	6.507447	9.070304	7.016225	6.093221	9.667185	8.084359	10.196035	9.693404	5.414128	5.691155	8.385086	9.189413	5.218348	7.481388	5.393880	6.141474	6.767361	6.518413	5.519621	6.257268
Probe 337	7.007576	6.992240	7.862182	6.637869	6.431527	8.971928	6.376182	7.260819	6.981038	6.332323	7.692547	5.564344	5.680050	6.319958	6.834128	8.629110	8.945512	7.162908	5.855216	8.198735	6.147914	6.297185	5.747342	5.752193	5.566776	9.455362	7.366871	5.711617	7.380744	7.540833	5.855830	6.870197	7.773699	8.695752	8.381574	7.238931	6.157160	6.235937	7.578981	7.348507	7.400369	6.039677	8.664706	6.149892	7.220795	7.846299	6.329262	6.209656	7.757211	7.433241	6.333640	6.419313	7.336884	8.468768	7.358745	5.681520	6.190252	7.181911	5.671327	7.325483	5.797182	6.014588	7.063571	5.695650	6.263537	8.643829	6.891958	6.088583	8.689065	5.924289	5.549891	5.769882	8.155462	6.950426	6.033349	5.523940	5.539282	8.861166	7.412452	6.113510	7.395985	9.080165	7.765619	7.208423	8.816774	5.910111	7.847623	8.723290	5.918284	5.794264	6.958593	7.911951	5.544806	7.526473	6.072718	7.696463	5.634859	5.967632	6.087107	8.067686
Probe 338	6.293806	6.548361	6.516927	8.037348	9.324528	5.814579	7.609060	4.746087	5.384606	8.366676	6.578421	6.940161	8.630446	8.108123	7.410920	6.362742	5.910930	5.283084	7.329857	5.361799	5.697993	7.716438	5.312801	7.470781	7.550415	5.506585	5.667120	5.848044	5.070594	5.222186	6.924564	7.848482	5.489929	5.702836	5.576601	6.591771	7.261444	8.413563	5.892426	5.767806	7.630711	7.248522	5.581693	7.917417	5.063118	5.327352	8.823632	7.608553	5.512056	6.382120	4.966868	7.817408	5.317837	5.592256	6.956359	7.939254	5.105536	6.483317	6.588022	7.050803	8.873808	7.980199	8.084891	8.814801	5.516961	6.483918	6.577566	8.299862	7.741948	7.995823	7.792187	7.835007	5.323362	8.348107	8.774487	5.659753	7.905228	5.302234	5.621368	7.711291	7.659282	5.491968	5.158175	5.234228	5.057123	7.581486	5.148333	5.135819	8.276478	8.247925	5.353848	5.912918	8.740554	5.149183	4.902461	6.772287	7.795906	7.064493	9.128889	6.368723
Probe 339	4.729492	10.843474	4.713252	4.724880	5.677934	8.291231	4.815873	5.066783	5.137848	5.067400	4.562144	4.703196	5.047888	4.892848	4.840155	4.655815	4.579071	4.654685	4.813653	5.717860	4.843150	4.648652	10.376442	4.836254	4.840328	4.807304	4.778172	4.672693	6.031687	4.742169	4.932400	4.473582	5.379174	4.718499	4.730829	11.665093	5.116082	7.289227	10.829681	4.422134	4.579651	4.680515	4.849146	4.576042	5.457248	4.796062	8.234555	4.883476	7.341364	11.825404	4.553799	4.777976	4.873719	6.616551	4.613465	4.626260	7.758790	10.638004	4.925504	12.155682	4.930516	4.711797	4.775654	5.051010	5.019064	9.744608	4.647863	4.867201	4.957241	4.746120	5.343696	4.714289	5.073271	4.841363	4.945322	4.594151	5.097122	4.774949	4.727727	4.830992	4.486529	4.696688	6.017158	5.020451	4.539020	4.911854	5.104839	4.614257	5.920287	4.706455	5.262475	4.359422	4.657218	4.845626	6.352394	12.103510	4.565805	4.836267	5.597002	8.285013
Probe 340	7.803925	6.446211	7.293139	9.042856	8.106243	6.609353	8.922447	5.431955	6.327893	8.899324	7.911823	8.240236	7.999649	8.791186	9.106440	7.333754	7.661836	6.287485	8.161314	6.371282	7.436359	9.096019	4.591178	8.432541	8.235457	6.738566	7.550863	6.026209	5.685851	7.043760	7.224116	9.668757	5.798341	7.173776	7.099531	6.699255	9.008567	8.378101	6.115496	9.732378	9.507558	7.742158	6.999855	9.271573	5.512702	6.569382	7.307001	8.591964	5.438306	6.242798	6.434330	9.371298	7.393876	6.565241	9.799803	8.682940	5.429317	6.187375	6.389905	6.913945	8.305068	9.395506	9.395124	7.606028	5.932972	6.897953	8.143574	9.505832	8.039658	8.396208	8.833099	9.254016	7.087907	8.941339	6.971008	5.981757	8.905200	7.010757	7.682814	8.697100	8.938066	6.798812	5.366353	6.014729	7.125034	8.391944	5.947240	6.973312	8.286029	9.385234	6.521093	7.370417	9.352588	7.530173	4.997110	6.607143	9.275406	8.684915	8.056034	6.829167
